Item ID,name,Food or Beer
IT8842,Saison Vielle Provision,B
IT9811,Organic Barley Wine Ale 2005,B
IT6053,Old Boardhead 2006,B
IT4540,Blue Dot Double India Pale Ale,B
IT4153,Nugget,B
IT4607,American Pale Ale,B
IT3412,471 Extra ESB,B
IT5705,Odell Red Ale,B
IT7624,2010-07-22 20:00:20 UTC,B
IT9440,Long Leg English Fuggles Hop Ale,B
IT3974,Summer Lightning,B
IT8445,Haymaker Extra Pale Ale,B
IT2940,Pale Ale,B
IT1859,Silk Lady,B
IT9471,Danger Ale,B
IT6415,Irish Style Ale,B
IT3710,Yeti Special Export,B
IT8896,Steelie Brown Ale,B
IT3619,Bond Street 19th Anniversary,B
IT3818,Trumpeter,B
IT8360,Nitro Porter,B
IT1244,Fourteen,B
IT9912,Old Stock Ale 2007,B
IT6967,Cold Hop,B
IT9851,Hitachino Nest Espresso Stout,B
IT5491,Witte,B
IT1249,Slaapmutske Triple Nightcap,B
IT8996,Biere de Mars,B
IT4742,Kerst Pater Special Christmas Beer,B
IT0131,Zoetzuur Flemish Ale,B
IT6757,WPA (Wheat Pale Ale),B
IT3346,Smoked Hefe,B
IT9853,The Unforgiven Amber Ale,B
IT8285,Strange Ghost,B
IT7715,Duke IPA,B
IT4552,Broad Axe Stout,B
IT8478,Northern Light Lager,B
IT3101,Podge Belgian Imperial Stout,B
IT4919,Okocim Porter,B
IT0363,1809,B
IT2251,Pannepot,B
IT2840,Samurai,B
IT4551,Crystal Ale,B
IT9469,Gavroche French Red Ale,B
IT3696,Coney Island Lager,B
IT3378,La BiÃ¨re des Collines van de Saisis,B
IT8883,Dark Beer / StiftsbrÃ¤u,B
IT4256,LuciÃ©rnaga,B
IT7768,CuvÃ©e des Champions 2003-2004,B
IT9318,Beer Geek Breakfast,B
IT3465,Flemish Primitive Wild Ale (Spoon Whacker),B
IT8425,Bock,B
IT5090,Double India Pale Ale,B
IT8913,Old Bawdy 2006,B
IT7076,Extra Strong Vintage Ale,B
IT8523,Certified Organic India Pale Ale,B
IT3366,Certified Organic Porter,B
IT4634,Certified Organic Extra Pale Ale,B
IT3838,Certified Organic Amber Ale,B
IT1593,Farm House Ale,B
IT8767,Beer Town Brown,B
IT0352,Tanners Jack,B
IT0917,Mephistopheles Stout,B
IT7230,NÃ¸gne Ã˜ Brown Ale,B
IT1334,Vertical Epic 07.07.07,B
IT9814,Ringwood Brewery Old Thumper Extra Special Ale,B
IT8582,Export Ale,B
IT6680,Bourbon Barrel Porter,B
IT3465,Old Guardian Barley Wine 2007,B
IT0125,White Christmas,B
IT2823,Winter,B
IT6946,Undercover Investigation Shut-Down Ale,B
IT9328,Harvest Ale 2006,B
IT5867,Classic Gueuze,B
IT2920,Gueuze-Lambic,B
IT9020,Schwarzbier / Dunkel,B
IT6981,Sawtooth Ale,B
IT4392,Pole Star Pilsner,B
IT5628,90 Shilling,B
IT0922,Sunshine Wheat,B
IT5884,Grand Cru,B
IT0072,Der Weisse Bock,B
IT9282,Stouterik / The Brussels Stout,B
IT8834,Black Jack Porter,B
IT5619,Lunar Ale,B
IT6135,Denver Pale Ale / DPA,B
IT9482,malty middle,B
IT1261,Grotten Flemish Ale,B
IT3944,Grand Cru,B
IT5867,Summer Common,B
IT8619,Golden Ale,B
IT8977,Ambree,B
IT2885,Pater 6,B
IT5863,Blanche de Namur,B
IT9600,Skinny Dip,B
IT5662,Blanche Double,B
IT9523,Summer Bright Ale,B
IT6348,Mothership Wit,B
IT1814,Lia Fail Stone of Destiny Ale,B
IT1743,Premium XB Bluebird Bitter,B
IT9339,IPA,B
IT5356,Houblon,B
IT2320,Double Pilsner,B
IT4712,Creamy Dark,B
IT5986,Premium Pils Edelherb,B
IT5933,StÃ¼venbrÃ¤u Maibock,B
IT7319,Jack of Spades Schwarzbier,B
IT4911,Shiner Hefeweizen,B
IT4137,Sapporo Premium Beer,B
IT2554,Dark German Lager,B
IT0838,Spring Heat Spiced Wheat,B
IT8745,Gose,B
IT7633,Pils,B
IT1677,New,B
IT9748,Eisenbahn Defumada,B
IT4464,Eisenbahn Escura,B
IT0828,Eisenbahn Dourada,B
IT8133,Fallen Angel Sweet Stout,B
IT6930,Hot Shot ESB,B
IT7899,Porter,B
IT8543,NÃ¸gne Ã˜ Imperial Stout,B
IT5790,NÃ¸gne Ã˜ Porter,B
IT5763,NÃ¸gne Ã˜ Pale Ale,B
IT3774,Eccentric Belgian Wheat,B
IT4704,Oatmeal Stout,B
IT5362,Amber Light,B
IT5386,New World Wheat,B
IT5841,Maibock,B
IT6162,Ironwood Dark,B
IT7441,Cascade Amber,B
IT9938,Alpine Gold,B
IT5379,Illuminator Doppelbock,B
IT4499,Old Princeton Landing IPA,B
IT9550,Paddle Out Stout,B
IT6750,Pillar Point Pale Ale,B
IT7690,Sandy Beach Blonde Hefeweizen,B
IT8696,Mavericks Amber Ale,B
IT6827,Harbor Light Ale,B
IT2954,Leroy Barleywine,B
IT1898,Oatmeal Stout,B
IT7823,Amber,B
IT0476,Blur IPA,B
IT6156,Pelican Pale,B
IT5561,Brew Ribbon,B
IT8585,Casey Jones Imperial IPA,B
IT0171,Fairfax Coffee Porter,B
IT6385,Epiphany Ale,B
IT0528,IPA,B
IT6247,Chazz Cat Rye,B
IT3339,Shining Star Pale Ale,B
IT7598,Honey Bunny Blonde Ale,B
IT7828,Kent Lake Kolsch,B
IT0851,Old Blarney Barleywine,B
IT8233,Irish Dry Stout,B
IT0132,Kilt Lifter Scottish Ale,B
IT0405,India Pale Ale,B
IT2451,Blonde Bock,B
IT7737,Schwarzbier,B
IT7436,Czech Lager,B
IT4879,Yule Tide,B
IT0580,Pilsner,B
IT0006,Warka Strong,B
IT5958,Porter,B
IT1370,ESB,B
IT4517,Pale Ale,B
IT2969,Kristall Weizen,B
IT4430,ESB (Extra Special Blizzard),B
IT2034,Paint the Town Red,B
IT4726,Golden Ale,B
IT4862,Train Wreck IPA,B
IT8631,Zone 7 Porter,B
IT2837,Pleasanton Pale,B
IT3371,Island Wheat,B
IT0235,Hefeweizen,B
IT3735,Red Ale,B
IT9168,Penalty Shot Porter,B
IT8286,India Pale Ale,B
IT5550,Grid Iron Amber Ale,B
IT4086,Boys of Summer Wheat,B
IT9099,Pale Ale,B
IT1075,Red Ale,B
IT4832,Hefeweizen,B
IT1198,Bitter,B
IT4386,Double IPA,B
IT9240,Tatonka Stout,B
IT6365,P.M. Porter,B
IT1536,Jeremiah Red,B
IT2145,Piranha Pale Ale,B
IT1361,Harvest Hefeweizen,B
IT7265,Brewhouse Blonde,B
IT3164,Nutty Brewnette,B
IT3737,India Pale Ale (IPA),B
IT7619,Belgian Tripel,B
IT4474,Belgian Abbey,B
IT0309,Stout,B
IT0656,Pale Ale,B
IT9717,Best Bitter,B
IT5559,Hefe Weizen,B
IT7213,Pilsner,B
IT2190,KÃ¶lsch,B
IT1928,Harvest Ale 2005 (Whisky),B
IT7945,Harvest Ale 2005 (Calvados),B
IT0019,Harvest Ale 2005 (Sherry),B
IT2448,Old Crustacean Barleywine 2006,B
IT9621,Avalanche Amber,B
IT7337,Hefe Proper Ale,B
IT3069,Levity Amber Ale,B
IT9764,Easy Street Wheat,B
IT8900,Boulevard Pale Ale,B
IT4855,Bully! Porter,B
IT2101,Bovine Belgian Winter Ale,B
IT3283,XX Black Angus Stout,B
IT0995,Blarney Stone Stout,B
IT1511,Bison Brown Ale,B
IT5976,Prairie Pale,B
IT7112,Wildcat Wheat,B
IT2134,Boulevard Dry Stout,B
IT1149,Planet Porter / Boulder Porter,B
IT0599,Amber,B
IT4278,Blanche des Moines,B
IT0078,Triple Moine,B
IT2778,Arabier,B
IT4645,Bos Keun,B
IT8924,Grand Cru,B
IT4370,Oerbier,B
IT6622,Dulle Teve / Mad Bitch,B
IT2946,Vuuve,B
IT1775,Gouden Carolus Tripel,B
IT1436,Gouden Carolus Ambrio 1471,B
IT1346,Pauwel Kwak,B
IT4827,Saison Voisin,B
IT0630,Olde Expensive Ale,B
IT5732,Quadrupel,B
IT1042,Tripel,B
IT4923,Dubbel,B
IT8442,Old Growler,B
IT7097,Urthel Vlaemse Bock,B
IT6544,Watou Tripel,B
IT1521,Matilda,B
IT3327,Old Engine Oil Special Reserve (aged in malt whisky casks),B
IT3075,Imperial Stout,B
IT0050,EKU 28,B
IT5504,Eisbock,B
IT7177,Doppelbock Dunkel,B
IT9324,Special London Ale,B
IT3183,Oatmeal Stout,B
IT0082,Super,B
IT5865,Wayan,B
IT7877,GABF 25th Year Beer,B
IT0640,Old Foghorn 2006,B
IT0266,Grand Cru 2006,B
IT7609,Cerveza Negra,B
IT7930,Cerveza Diablo,B
IT9217,Cerveza Roja,B
IT2251,Buffalo Belgian Stout,B
IT9028,Rader AmbrÃ©e,B
IT1156,Rader Blonde,B
IT0005,Toleration,B
IT6602,English Ale,B
IT8265,Ripon Jewel Ale,B
IT1763,XTra,B
IT9834,Bam BiÃ¨re,B
IT9599,Samichlaus Bier 2005,B
IT8322,Barleywine,B
IT6599,Old Godfather,B
IT9847,Aventinus Weizen-Eisbock,B
IT5459,Aventinus Weizenstarkbier / Doppel Weizen Bock,B
IT7317,New Belgium Trippel Belgian Style Ale,B
IT4951,Hennepin Farmhouse Ale,B
IT1682,Abbey Belgian Style Ale,B
IT1471,India Pale Ale,B
IT1969,Bigfoot 2006,B
IT3305,Iron Fist Pale Ale,B
IT8501,Demolition,B
IT8952,Oro de Calabaza,B
IT0288,La Roja,B
IT2226,Brother Thelonious,B
IT2025,Hop Trip Fresh Hop Pale Ale,B
IT6077,Organic Belgian Ale,B
IT2760,Nieuw Ligt Grand Cru 2006,B
IT0594,Hibernation Ale,B
IT0317,Twisted Thistle India Pale Ale,B
IT2125,Espresso Stout,B
IT8308,Inversion IPA,B
IT4530,London Porter,B
IT5698,Hitachino Nest Celebration Ale 2006,B
IT3342,Rubia,B
IT5611,Session Premium Lager,B
IT4004,Mocny BOSS / BOSS Beer,B
IT8500,La Rossa,B
IT5700,Blue Paddle Pilsener,B
IT0491,Lager,B
IT4142,Hell,B
IT7341,Pilsner,B
IT3917,Ungespundet Lager Hefetrub,B
IT8818,Keller-Bier,B
IT4777,Imperial Porter,B
IT3533,Amber Ale,B
IT3668,La Folie,B
IT7039,Abt 12,B
IT3378,Nostradamus,B
IT7419,Triple,B
IT0836,Ultrabrune,B
IT4325,PÃ¨re NoÃ«l,B
IT8051,Bah Humbug,B
IT7515,Harvest Ale 2005 (Port),B
IT3097,Harvest Ale 2005,B
IT0519,Moonraker,B
IT8944,Old Engine Oil,B
IT2634,Pitchfork Rebellious Bitter,B
IT2405,Bitter and Twisted,B
IT7202,India Pale Ale,B
IT7857,Old Slug Porter,B
IT5994,Golden Abbot Lager,B
IT8342,Porter,B
IT7069,MÃ¶nchshof KellerbrÃ¤u,B
IT6906,Nightmare,B
IT8922,Ur-Weisse,B
IT0623,Schlenkerla Helles Lagerbier,B
IT9042,Ondineke Oilsjtersen Tripel,B
IT5550,Ale Mary,B
IT1530,Jan de Lichte,B
IT8076,Bigfoot 2000,B
IT4772,Rauchbier Lager,B
IT9223,Bourbon Imperial Stout,B
IT6035,Witbier,B
IT6837,Bavarian Bock,B
IT5803,Heater,B
IT2391,Harvest Brown,B
IT8009,Brout,B
IT6593,Aecht Schlenkerla Rauchbier MÃ¤rzen,B
IT5801,Aecht Schlenkerla Rauchbier Weizen,B
IT0740,Kapuziner Schwarz-Weizen,B
IT7440,Christmas Bock,B
IT3119,Prior 8,B
IT8854,Trout Slayer,B
IT5600,Moose Drool Brown Ale,B
IT5089,Scape Goat Pale Ale,B
IT9613,Powder Hound Winter Ale,B
IT8003,American Chinese cuisine,F
IT9268,Biscuit (and Biscuits and gravy),F
IT5221,Bread,F
IT6642,Ammonia cookie,F
IT7834,Cuisine of Antebellum America,F
IT0523,Apple butter,F
IT6648,Apple sauce,F
IT7307,Baked potato,F
IT6134,Barbecue (see below for specific types),F
IT5532,Bear claw,F
IT4985,Beef Manhattan,F
IT4789,Blue cheese dressing,F
IT9452,Blue-plate special,F
IT8459,Bookbinder soup,F
IT2103,Breakfast burrito,F
IT7814,Brunswick stew,F
IT1325,Buffalo burger,F
IT0022,Buffalo wing,F
IT3203,Bull roast,F
IT4108,Burnt ends,F
IT7406,Butter cookie,F
IT1428,Cajun cuisine,F
IT3670,Calf's liver and bacon,F
IT2591,Carne pizzaiola[citation needed],F
IT4893,Carolina style,F
IT1769,Celery Victor,F
IT6367,Cheese dog,F
IT3314,Cheese fries,F
IT7897,Cheesesteak,F
IT5101,Chicago-style pizza,F
IT4598,Chicken à la King,F
IT4758,Chicken and waffles,F
IT6807,Chicken Divan,F
IT9444,Chicken fingers,F
IT9171,Chicken French,F
IT7741,Chicken fried bacon,F
IT7233,Chicken fried steak,F
IT6717,Chicken nugget,F
IT0492,Chicken parmigiana,F
IT8009,Chicken sandwich,F
IT3227,Chili con carne,F
IT3440,Chili dog,F
IT2983,Chimichanga,F
IT8930,Chips and dip,F
IT9524,Dark chocolate,F
IT1887,Milk chocolate,F
IT2317,White chocolate,F
IT6131,Chocolate chip cookies,F
IT6748,Choco pie,F
IT6961,Chowder,F
IT9687,City chicken,F
IT9294,Clam cake,F
IT8893,Clam chowder,F
IT4258,Coleslaw,F
IT5228,Cordon bleu,F
IT0620,Corn chowder,F
IT0568,Corn dog,F
IT3007,Corn flakes,F
IT4908,Corn relish,F
IT1481,Corned beef,F
IT7551,Cornish game hen,F
IT4951,Cowboy beans,F
IT9291,Crab cake,F
IT8519,Creamed corn,F
IT8182,Creamed eggs on toast,F
IT1074,Deviled crab,F
IT3912,Deviled egg,F
IT9894,Domesticated turkey,F
IT7090,Doughnut,F
IT0003,Drunken chicken,F
IT1909,Eggo,F
IT4004,Eggs Benedict,F
IT9387,Eggs Neptune,F
IT1662,Energy bar,F
IT6921,Engastration (e.g.,F
IT6822, Turducken),F
IT6736,Fajita,F
IT5334,Fortune cookie,F
IT5925,French dip,F
IT3965,Fried chicken,F
IT7893,Fried fish,F
IT0426,Fry sauce,F
IT3070,Frybread,F
IT2113,Garden salad,F
IT5742,German chocolate cake,F
IT5234,Goulash,F
IT1057,Greek-American cuisine,F
IT7701,Green bean casserole,F
IT6876,Grits,F
IT7507,Hamburger,F
IT2188,Hangtown fry,F
IT0677,Haystack,F
IT9115,Hog fry,F
IT3973,Home fries,F
IT4735,Hot chicken,F
IT7972,Hot chicken sandwich,F
IT9189,Ice cream cake,F
IT6068,Italian-American cuisine,F
IT4429,Italian beef,F
IT3086,Italian dressing,F
IT7259,Jell-O,F
IT7880,Jerky,F
IT7672,Juba,F
IT8328,Liver and onions,F
IT3364,Lobster Newberg,F
IT8190,Lobster roll,F
IT0422,London broil,F
IT6801,Lorna Doone,F
IT2214,Macaroni and cheese,F
IT6340,Macaroni salad,F
IT4411,Maple bacon donut,F
IT7202,Maraca pie,F
IT3593,Mashed potato,F
IT6078,Mashed pumpkin,F
IT7630,Meatcake,F
IT0227,Meatloaf,F
IT7676,Milk toast,F
IT6887,Milkshake,F
IT9852,Mission burrito,F
IT8778,Mozzarella sticks,F
IT6613,Muffuletta,F
IT2676,Mulligan stew,F
IT3428,Onion ring,F
IT9181,Oreo,F
IT4585,Oysters Rockefeller,F
IT0582,Pancakes,F
IT2374,Pasta salad,F
IT6880,Pastrami,F
IT1968,Patty,F
IT2491,Peanut butter,F
IT0769,Pemmican,F
IT1356,Pepperoni,F
IT5170,Pickled cucumber,F
IT1381,Pigs in blankets,F
IT9371,Pizza strips,F
IT8115,Ploye,F
IT8990,Pop-Tarts,F
IT8497,Popcorn,F
IT7875,Popover,F
IT2860,Poppyseed muffin,F
IT8485,Pork and beans,F
IT8709,Potato salad,F
IT4460,Potato skins,F
IT6294,Potato wedges,F
IT4496,Potatoes O'Brien,F
IT7252,Protein bar,F
IT1170,Pulled pork,F
IT1812,Pumpkin pie,F
IT0540,Rabbit pie,F
IT4668,Ranch dressing,F
IT8362,Reuben sandwich,F
IT0317,Ribs,F
IT8976,Rolled oyster,F
IT2266,Russian dressing,F
IT6989,Russian tea cake,F
IT0427,Salisbury steak,F
IT0797,Sandwich,F
IT7193,Sausage gravy,F
IT2577,Scampi,F
IT2233,Scrapple,F
IT7608,Seafood cocktail,F
IT8069,Senate bean soup,F
IT6897,Slinger,F
IT7740,Sloppy joe,F
IT2122,Smelt,F
IT1473,Sonofabitch stew,F
IT4169,Soul food,F
IT1840,Sour cream,F
IT7421,Squab,F
IT3947,Steak,F
IT7599,Steak sandwich,F
IT4963,Steak sauce,F
IT3214,Steamed clams,F
IT2674,Stuffed ham,F
IT8244,Stuffed peppers,F
IT0696,Stuffed zucchini,F
IT1978,Succotash,F
IT6965,Surf and turf,F
IT1335,Swiss steak,F
IT2311,Tetrazzini,F
IT8081,Cuisine of the Thirteen Colonies,F
IT1033,Thousand Island dressing,F
IT6093,Toaster Strudel,F
IT1939,Tomato compote,F
IT4409,Tuna casserole,F
IT0397,Turducken,F
IT1317,Thanksgiving turkey,F
IT6577,Vichyssoise,F
IT5522,Waffle,F
