Bill_ID,Transcation_ID,totalCost,tip,time
BIL6720,TID3773,158502.115730967,3,13:56:58
BIL1447,TID9707,169722.2438321347,3,16:31:09
BIL5414,TID3835,181813.31090038412,4,16:18:58
BIL1618,TID0502,194620.512663411,15,18:03:25
BIL5522,TID6174,208288.39854984978,7,16:46:24
BIL7340,TID1076,223152.50644833926,10,13:05:42
BIL5435,TID6083,238959.15189972302,3,16:43:10
BIL3961,TID4156,255911.43253270362,9,14:12:54
BIL4944,TID3733,273958.0728099929,13,15:41:00
BIL4481,TID2854,293386.8179066924,12,12:00:43
BIL0706,TID6179,314161.22516016086,3,11:51:17
BIL5231,TID8497,336281.8409213721,2,13:07:50
BIL6937,TID2905,359914.5197858682,2,11:27:53
BIL4801,TID1634,385275.89617087896,9,23:29:08
BIL1060,TID1198,412309.0589028405,5,11:11:12
BIL2453,TID0258,441326.7730260393,2,23:12:50
BIL1983,TID5692,472376.44713786204,7,15:37:40
BIL4788,TID2111,505754.67843751237,8,14:03:35
BIL7740,TID4506,541221.9359281382,12,14:20:26
BIL4152,TID2943,579314.7714431079,4,23:23:10
BIL8046,TID4339,619918.0254441254,2,19:22:32
BIL1017,TID7558,663479.5072252142,11,16:57:48
BIL2304,TID7710,710172.4727309791,14,17:31:27
BIL1725,TID8697,759999.9658221477,2,14:54:59
BIL7708,TID5494,813346.573429698,15,15:38:23
BIL3960,TID9717,870488.2035697768,3,19:40:07
BIL0864,TID8978,931632.7478196613,6,18:17:45
BIL2224,TID3103,997199.5801670376,8,18:56:39
BIL9781,TID5118,1067053.2807787303,8,12:23:49
BIL1230,TID9497,1141962.7304332415,6,11:46:14
BIL9770,TID0632,1221998.0715635684,7,12:31:42
BIL1192,TID8568,1307855.9565730183,12,13:28:17
BIL7609,TID2135,1399535.2035331295,2,19:13:46
BIL0089,TID8831,1497661.0477804486,15,19:05:03
BIL4514,TID7672,1602635.28112508,1,13:38:16
BIL1070,TID6253,1714840.8008038357,5,19:10:49
BIL5489,TID4044,1835009.6368601043,8,16:13:09
BIL8231,TID8415,1963600.2014403115,4,13:53:37
BIL4097,TID3497,2101264.5155411335,9,23:56:15
BIL9502,TID6108,2248490.221629013,12,19:21:40
null,TID9664,2405998.817143044,3,12:24:35
BIL7274,TID4407,2574462.184343057,6,23:49:09
BIL2389,TID9001,2754770.6272470714,3,17:44:22
BIL3654,TID2885,2947758.511154366,2,11:01:26
BIL2287,TID9477,3154359.6369351717,13,15:25:27
BIL0352,TID4864,3375393.5115206335,4,12:44:51
BIL3388,TID8247,3612043.9973270777,7,14:48:35
BIL6417,TID3503,3865259.597139973,13,14:18:09
BIL9812,TID5123,4136116.9689397714,11,15:35:16
BIL5617,TID0042,4425830.846765555,7,18:04:22
BIL1191,TID8019,4735759.776039144,2,15:39:39
BIL2803,TID8510,5067418.760361884,6,12:18:08
BIL2687,TID4540,5422583.423587216,12,15:47:29
BIL3684,TID5259,5802243.463238321,15,12:43:42
BIL8426,TID2819,6208773.305665004,9,15:25:23
BIL2189,TID5627,6643581.617061554,8,15:24:02
BIL9878,TID1263,7108832.790255863,10,11:50:12
BIL8193,TID1902,7606493.395573773,7,17:34:29
BIL2262,TID6571,8138956.793263937,11,15:01:31
BIL8193,TID9616,8708799.188792413,2,11:36:41
BIL9152,TID8902,9318603.962007882,8,16:05:42
BIL2046,TID7710,9971148.849348433,4,17:50:11
BIL2752,TID5523,1.0669370108802823E7,14,23:04:18
BIL0767,TID2869,1.1416328176419022E7,8,15:49:53
BIL2211,TID8252,1.2215563538768353E7,10,14:42:21
BIL9164,TID0241,1.3070902596482137E7,11,18:18:11
BIL3065,TID7654,1.3986102618235886E7,10,15:13:46
BIL3694,TID6964,1.4965522861512398E7,10,17:36:23
BIL4994,TID8407,1.6013251491818266E7,4,15:30:03
BIL3614,TID0016,1.7134249876245543E7,13,11:24:03
BIL0680,TID0825,1.833371807758273E7,14,18:44:13
BIL8457,TID2143,1.9617171223013524E7,3,14:56:41
BIL2115,TID1286,2.0990780738624472E7,2,18:38:37
BIL9436,TID0104,2.2460336570328183E7,15,11:31:54
BIL4684,TID9221,2.4032737120251156E7,9,12:27:39
BIL7912,TID3435,2.571528395866874E7,7,14:35:51
BIL2712,TID4525,2.751555464577555E7,5,23:45:36
BIL0962,TID8180,2.944170397097984E7,7,18:30:16
BIL8090,TID3648,3.150275208894843E7,9,19:45:32
BIL0101,TID2988,3.3708445075174816E7,6,11:42:41
BIL7333,TID3195,3.6068387700437054E7,8,17:02:20
BIL7060,TID3708,3.859334319946765E7,10,18:15:44
BIL8536,TID5530,4.1295086313430384E7,9,14:30:33
BIL9560,TID7576,4.418602783537051E7,3,19:46:03
BIL3241,TID4166,4.727918511384644E7,8,19:25:31
BIL3652,TID5485,5.058895607181569E7,14,18:31:46
BIL7934,TID1973,5.413021653684279E7,10,16:15:20
BIL1549,TID2918,5.791938933442179E7,2,19:50:08
BIL9498,TID7710,6.197400561783132E7,14,13:44:08
BIL7378,TID4780,6.631235451107951E7,8,18:28:07
BIL3861,TID8339,7.095462729685508E7,11,12:10:55
BIL2917,TID8585,7.592182893763493E7,15,14:50:13
BIL0175,TID3347,8.123639771326938E7,14,13:25:07
BIL5436,TID8539,8.692307981319824E7,8,14:06:40
BIL7818,TID1205,9.300779677012211E7,4,16:52:07
BIL1484,TID1781,9.951873367403066E7,7,18:48:48
BIL4064,TID7690,1.064851254412128E8,13,11:07:09
BIL2232,TID4248,1.139391869620977E8,15,18:25:12
BIL6909,TID7776,1.2191511759944454E8,11,11:21:41
BIL6084,TID1429,1.3044928162140566E8,2,23:50:53
BIL3529,TID7232,1.3958082435490406E8,1,16:44:40
BIL6152,TID4239,1.4935176625974733E8,6,11:06:31
BIL3546,TID2508,1.5980644411792964E8,5,11:10:20
BIL4256,TID1094,1.709930130661847E8,13,14:10:10
BIL0506,TID4138,1.8296287680081764E8,4,16:22:02
BIL9420,TID2821,1.9577039324687487E8,7,12:55:53
BIL0313,TID2915,2.0947450246415612E8,3,13:40:35
BIL4740,TID3020,2.2413799562664706E8,3,19:05:53
BIL1097,TID0646,2.3982766367051235E8,3,16:41:11
BIL2938,TID5530,2.566158087074482E8,1,17:25:26
BIL4805,TID0203,2.745790814669696E8,11,17:53:04
BIL6493,TID0965,2.937997643396575E8,7,13:43:58
BIL1438,TID4647,3.143657797334335E8,3,13:40:42
BIL7282,TID1874,3.363714799147738E8,10,19:46:00
BIL2741,TID7777,3.59917662918808E8,5,16:59:24
BIL4363,TID4010,3.8511210485312456E8,14,19:49:34
BIL8762,TID4290,4.120700993628433E8,7,19:20:01
BIL6169,TID5505,4.409152017082423E8,6,19:20:51
BIL5764,TID2698,4.717795222778193E8,5,14:05:48
BIL1725,TID7720,5.0480413500726664E8,13,23:21:15
BIL1289,TID3133,5.401405109177753E8,3,13:03:34
BIL5436,TID5872,5.779505716820196E8,11,12:47:55
BIL2983,TID9077,6.184072082997609E8,11,15:49:59
BIL4184,TID5877,6.616957769407442E8,2,23:03:44
BIL4788,TID1781,7.080148795965962E8,12,14:08:55
BIL6931,TID7841,7.57576086248358E8,11,15:29:00
BIL8091,TID8443,8.10606461365743E8,2,23:31:43
BIL3275,TID3828,8.673495076013451E8,14,11:07:40
BIL6079,TID5642,9.280640247234392E8,12,13:17:35
BIL9687,TID1781,9.930288830240799E8,1,19:42:11
BIL9290,TID9014,1.0625410882457656E9,9,11:09:33
BIL4632,TID4070,1.136919120432969E9,3,15:51:00
BIL4954,TID8689,1.216503590843277E9,10,17:48:00
BIL6967,TID7309,1.3016592578023064E9,9,12:26:00
BIL7296,TID8267,1.392775561228468E9,12,14:08:39
BIL8016,TID3331,1.4902698965444608E9,15,13:03:20
BIL5766,TID5218,1.5945889723625731E9,14,18:29:43
BIL7296,TID2483,1.7062103199879532E9,4,15:56:12
BIL5235,TID8176,1.82564507343711E9,15,16:05:18
BIL1773,TID0967,1.9534403201777077E9,6,19:38:51
BIL0344,TID8350,2.0901813518201473E9,7,19:11:10
BIL5424,TID8127,2.2364942341375575E9,9,11:21:23
BIL4693,TID5841,2.3930491857871866E9,15,12:24:58
BIL3293,TID1759,2.5605628806822896E9,9,17:50:55
BIL4412,TID0349,2.73980239377005E9,13,13:38:24
BIL6203,TID5213,2.9315888336939535E9,7,14:52:51
BIL6798,TID9692,3.1368001395125303E9,4,14:06:34
BIL5446,TID3941,3.3563761920084076E9,1,11:01:49
BIL6900,TID9016,3.591322627818996E9,5,19:54:00
BIL5021,TID3740,3.8427152502163258E9,1,15:32:17
BIL8762,TID2603,4.1117054238914685E9,12,15:35:10
BIL7224,TID6810,4.399524824983871E9,15,13:09:13
BIL8420,TID2810,4.707491647192742E9,1,23:57:06
BIL8447,TID3436,5.037016129556234E9,5,16:27:18
BIL5038,TID8430,5.3896074316151705E9,5,19:05:04
BIL7076,TID3389,5.766880036588232E9,12,15:25:28
BIL7018,TID6663,6.1705616907394085E9,12,13:34:07
BIL9183,TID1339,6.602501118951167E9,5,12:18:13
BIL1614,TID6923,7.064676338027749E9,7,17:43:03
BIL5033,TID8258,7.559203756379691E9,3,19:31:22
BIL7761,TID5080,8.088348241046269E9,12,15:07:11
BIL5145,TID3980,8.654532816959509E9,15,11:14:02
BIL6398,TID5611,9.260350415676674E9,3,23:37:22
BIL6547,TID0780,9.908575342184042E9,9,17:50:46
BIL7518,TID9635,1.0602175805036924E10,7,14:24:56
BIL0395,TID8062,1.1344328179519508E10,5,17:33:57
BIL1973,TID9860,1.2138431432655874E10,12,13:31:57
BIL4987,TID4628,1.2988121677041786E10,12,18:56:13
BIL5102,TID6671,1.3897290390264711E10,15,18:07:01
BIL7847,TID9400,1.4870100748473242E10,2,17:07:22
BIL6217,TID1337,1.591100804919637E10,14,23:34:55
BIL3426,TID3893,1.7024778808310116E10,2,18:24:27
BIL4412,TID5094,1.8216513641771824E10,13,15:34:21
BIL1728,TID0481,1.949166978359585E10,5,18:10:43
BIL8410,TID4965,2.0856086803567562E10,11,19:27:05
BIL5877,TID0056,2.2316013248127293E10,12,12:47:57
BIL2213,TID9627,2.3878134413826202E10,4,15:04:37
BIL4430,TID3867,2.5549604094154037E10,6,11:12:17
BIL7506,TID6488,2.733807673963482E10,9,15:31:56
BIL0225,TID2397,2.9251742215709255E10,8,16:40:40
BIL0749,TID0039,3.1299364334378902E10,2,15:27:12
BIL6029,TID8555,3.3490320141755424E10,14,14:31:58
BIL0710,TID6348,3.58346426815183E10,10,13:13:36
BIL9745,TID7703,3.834306781397459E10,11,13:10:51
BIL3329,TID7378,4.1027082677672806E10,14,18:28:37
BIL4656,TID1918,4.3898978614839905E10,1,11:58:52
BIL0961,TID0904,4.69719072039887E10,8,17:41:01
BIL6277,TID7597,5.025994090744791E10,13,12:18:15
BIL6853,TID8487,5.377813679573926E10,13,23:20:01
BIL5817,TID1233,5.7542606479881004E10,10,23:46:41
BIL4824,TID5094,6.157058924079268E10,12,19:08:14
BIL8120,TID6087,6.5880530643798164E10,1,13:15:13
BIL9416,TID6629,7.049216783175403E10,14,23:00:25
BIL7123,TID2614,7.542661976117682E10,10,16:25:11
BIL0083,TID1572,8.070648323349919E10,12,17:08:15
BIL1352,TID5152,8.635593731580414E10,12,15:22:01
BIL2966,TID8899,9.240085301872043E10,2,14:52:10
BIL3560,TID0573,9.886891286843086E10,10,17:48:16
BIL8766,TID3455,1.0578973690648102E11,11,14:23:40
BIL4165,TID1318,1.1319501868825468E11,10,15:00:46
BIL4429,TID4048,1.2111867006749251E11,9,13:10:40
BIL3848,TID0103,1.2959697701866699E11,9,16:19:16
BIL2498,TID2452,1.3866876550192368E11,1,14:29:43
BIL0415,TID4494,1.4837557919100833E11,13,14:10:15
BIL3229,TID6723,1.587618700606589E11,1,23:32:46
BIL6973,TID6221,1.6987520116529504E11,11,15:10:10
BIL7467,TID6646,1.817664654001757E11,11,16:05:16
BIL1467,TID3923,1.94490118089258E11,3,15:48:13
BIL3174,TID0485,2.0810442652679605E11,14,13:16:57
BIL4252,TID2261,2.2267173654403177E11,2,23:07:19
BIL4497,TID3190,2.3825875811467398E11,4,12:30:34
BIL9583,TID6501,2.5493687135062115E11,1,19:03:02
BIL3916,TID5595,2.7278245244932465E11,10,11:52:53
BIL7905,TID4716,2.918772243845774E11,7,15:53:58
BIL1113,TID2975,3.123086301743278E11,9,12:15:45
BIL1962,TID9377,3.341702345123208E11,15,12:28:25
BIL1369,TID2393,3.575621512102433E11,6,12:03:59
BIL9988,TID0997,3.825915019370603E11,3,13:00:16
BIL0620,TID6202,4.093729071524845E11,6,13:05:04
BIL0605,TID4709,4.3802901074789844E11,7,14:35:51
BIL1458,TID2031,4.686910418557213E11,12,23:29:53
BIL1094,TID3363,5.014994149605418E11,8,16:02:06
BIL3446,TID7234,5.3660437415280975E11,7,15:08:42
BIL0758,TID3706,5.741666805834865E11,11,13:52:12
BIL3677,TID8932,6.143583483043005E11,4,17:17:01
BIL9141,TID8395,6.573634327371216E11,13,23:10:09
BIL1752,TID8091,7.0337887309029E11,7,18:00:29
BIL3591,TID8461,7.526153945241204E11,4,11:42:53
BIL6139,TID1744,8.052984723583888E11,10,13:27:51
BIL6404,TID6195,8.61669365452876E11,8,15:45:46
BIL2271,TID2545,9.219862211353173E11,13,15:29:04
BIL0421,TID6944,9.865252567636794E11,13,19:44:31
BIL2785,TID3056,1.055582024886027E12,13,12:43:42
BIL1520,TID1348,1.1294727667880588E12,7,23:53:29
BIL8488,TID9298,1.2085358606026929E12,10,19:16:33
BIL1679,TID7228,1.2931333710731614E12,10,23:32:03
BIL6389,TID1236,1.3836527072934026E12,14,18:02:38
BIL1117,TID6405,1.4805083969033108E12,2,16:01:05
BIL2961,TID6352,1.5841439847843525E12,9,17:11:58
BIL6251,TID2840,1.6950340640034573E12,6,13:27:33
BIL8592,TID2584,1.8136864486794392E12,1,15:12:43
BIL8406,TID5695,1.9406445003227E12,11,13:35:19
BIL1948,TID4021,2.076489615385249E12,10,13:17:49
BIL1453,TID0066,2.2218438887203867E12,11,18:25:52
BIL3255,TID0587,2.3773729609972437E12,14,13:56:25
BIL2414,TID8516,2.543789068467861E12,5,18:28:06
BIL6276,TID5222,2.721854303343441E12,9,18:33:09
BIL7654,TID2330,2.912384104635842E12,7,12:33:11
BIL8136,TID2810,3.1162509920543706E12,2,17:40:52
BIL8848,TID9516,3.3343885616086865E12,11,19:20:53
BIL5213,TID9374,3.567795761046715E12,12,14:01:17
BIL6737,TID4559,3.8175414644376147E12,1,17:11:29
BIL4936,TID6997,4.0847693670116777E12,11,19:41:12
BIL0246,TID1630,4.3707032228749253E12,13,18:05:00
BIL9369,TID3532,4.67665244852176E12,6,11:05:25
BIL0560,TID9640,5.004018120095553E12,5,14:20:57
BIL3866,TID7287,5.354299388623941E12,4,12:30:27
BIL2902,TID0534,5.729100345923707E12,3,15:56:32
BIL1641,TID3718,6.130137370193097E12,13,15:50:05
BIL3698,TID0631,6.559246986167464E12,2,11:44:58
BIL8988,TID7258,7.018394275310187E12,4,15:54:40
BIL0237,TID1455,7.50968187463777E12,12,12:36:19
BIL0653,TID5890,8.035359606057384E12,12,16:13:09
BIL1862,TID6223,8.597834778825801E12,2,18:16:55
BIL5039,TID5678,9.199683213596637E12,8,13:51:09
BIL2206,TID7566,9.843661038728252E12,14,19:57:50
BIL7348,TID7597,1.053271731162599E13,7,14:00:13
BIL9724,TID3038,1.127000752386518E13,7,13:02:29
BIL5779,TID6391,1.2058908050641322E13,5,19:54:56
BIL5384,TID4486,1.2903031614706676E13,9,23:47:40
BIL8091,TID1239,1.3806243828261953E13,9,13:47:15
BIL3564,TID5775,1.477268089635643E13,7,14:47:41
BIL3551,TID8225,1.580676855944008E13,7,17:40:00
BIL3511,TID5024,1.6913242358656455E13,1,18:05:15
BIL6696,TID5354,1.8097169324107387E13,9,12:16:31
BIL6390,TID2053,1.9363971176967473E13,11,12:19:51
BIL6364,TID5298,2.0719449159433027E13,4,15:50:34
BIL8448,TID7904,2.216981060069229E13,8,12:27:53
BIL6351,TID7114,2.372169734282279E13,5,16:41:44
BIL2313,TID2356,2.5382216156925176E13,1,13:50:12
BIL4788,TID5011,2.7158971288111188E13,14,17:45:45
BIL3605,TID4855,2.906009927842442E13,1,17:46:49
BIL3173,TID3008,3.109430622815725E13,12,16:54:40
BIL1128,TID2246,3.327090766438415E13,13,23:00:57
BIL0101,TID2803,3.5599871201149836E13,2,13:20:23
BIL2425,TID5337,3.8091862185432414E13,2,14:17:45
BIL3244,TID1291,4.075829253843759E13,11,17:19:46
BIL7685,TID9605,4.361137301633724E13,10,14:35:04
BIL5085,TID4172,4.666416912761525E13,6,13:19:32
BIL4523,TID8629,4.993066096663257E13,4,13:50:55
BIL3254,TID1649,5.342580723447063E13,9,15:41:06
BIL9371,TID3965,5.71656137409134E13,2,18:08:29
BIL0709,TID7966,6.116720670295482E13,2,11:10:49
BIL6462,TID5310,6.544891117232767E13,13,23:15:24
BIL0560,TID1351,7.0030334954680016E13,8,14:16:53
BIL8888,TID5237,7.493245840155414E13,8,18:35:00
BIL8421,TID7854,8.017773048971052E13,8,16:13:28
BIL1480,TID2553,8.579017162413556E13,3,16:27:59
BIL3622,TID9130,9.179548363797294E13,12,23:12:50
BIL6217,TID6435,9.82211674928703E13,6,11:33:55
BIL5368,TID9472,1.0509664921749184E14,4,13:04:45
BIL3916,TID5810,1.1245341466291531E14,15,18:19:49
BIL4453,TID1978,1.2032515368940086E14,13,13:41:30
BIL6485,TID5407,1.2874791444772242E14,10,15:37:01
BIL2923,TID2859,1.3776026845929825E14,2,17:41:37
BIL1277,TID2542,1.474034872521022E14,10,14:54:39
BIL2400,TID9484,1.5772173135998825E14,11,12:13:17
BIL1445,TID7097,1.6876225255564375E14,8,17:58:25
BIL9475,TID6846,1.8057561023473484E14,12,17:59:56
BIL5170,TID0977,1.9321590295122894E14,7,13:27:31
BIL3977,TID3828,2.0674101615839656E14,7,17:10:29
BIL4914,TID1210,2.2121288728966894E14,7,11:08:38
BIL7741,TID2098,2.3669778940003016E14,2,11:32:13
BIL1003,TID5865,2.5326663465814956E14,6,15:16:22
BIL6390,TID9683,2.709952990843692E14,9,16:37:45
BIL5507,TID2313,2.899649700203268E14,9,18:09:18
BIL5932,TID1383,3.1026251792179156E14,13,15:13:33
BIL0706,TID7415,3.319808941764506E14,1,19:20:04
BIL2471,TID4395,3.552195567688241E14,7,14:56:37
BIL4252,TID7625,3.8008492574275244E14,9,23:10:03
BIL5287,TID5709,4.066908705449397E14,2,23:30:30
BIL0203,TID2523,4.351592314832631E14,15,23:29:48
BIL8762,TID5454,4.656203776872815E14,7,13:40:47
BIL3707,TID9263,4.982138041255144E14,14,11:35:59
BIL8194,TID6820,5.3308877041448775E14,14,16:59:13
BIL7308,TID6429,5.704049843435474E14,7,23:28:40
BIL9491,TID1507,6.103333332477205E14,5,12:55:03
BIL3667,TID8770,6.530566665751328E14,14,14:42:28
BIL6575,TID2243,6.98770633235501E14,3,14:36:59
BIL0226,TID2340,7.476845775622005E14,10,14:19:44
BIL2836,TID7198,8.000224979916249E14,4,23:31:04
BIL9696,TID1044,8.560240728512071E14,8,17:40:06
BIL8569,TID3233,9.159457579510752E14,15,15:57:32
BIL0237,TID3297,9.800619610077698E14,8,17:53:54
BIL8070,TID0132,1.0486662982787019E15,2,14:31:58
BIL3261,TID5350,1.1220729391582808E15,12,16:43:06
BIL6434,TID2246,1.2006180448996052E15,2,18:09:54
BIL8239,TID1113,1.2846613080426758E15,6,17:30:19
BIL2942,TID5422,1.3745875996059862E15,15,13:07:25
BIL2032,TID1034,1.4708087315785262E15,1,19:16:45
BIL6616,TID0976,1.5737653427892185E15,6,16:32:38
BIL3601,TID4864,1.683928916784704E15,8,14:57:52
BIL6791,TID4251,1.801803940960218E15,9,13:53:52
BIL5582,TID2733,1.9279302168278355E15,15,13:11:30
BIL5700,TID5120,2.0628853320058352E15,2,14:24:55
BIL8661,TID0609,2.2072873052464075E15,14,16:24:29
BIL3333,TID2493,2.3617974166136995E15,7,18:37:58
BIL5145,TID2987,2.5271232357768575E15,1,15:10:02
BIL4161,TID9828,2.7040218622814375E15,5,13:14:11
BIL1688,TID6937,2.8933033926413675E15,10,11:45:59
BIL4799,TID2583,3.09583463012649E15,13,19:55:46
BIL4379,TID5479,3.312543054235758E15,3,23:08:09
BIL5151,TID2393,3.544421068032562E15,12,16:33:00
BIL0534,TID1554,3.7925305427950965E15,10,19:32:31
BIL2639,TID5672,4.058007680790783E15,4,17:29:49
BIL7067,TID7296,4.3420682184462185E15,7,12:54:49
BIL4001,TID6017,4.646012993737512E15,10,16:32:53
BIL4501,TID0053,4.971233903299239E15,15,15:28:15
BIL1365,TID5915,5.319220276530403E15,12,16:24:27
BIL0765,TID9313,5.691565695887665E15,3,15:31:24
BIL3721,TID2859,6.089975294600044E15,2,19:06:26
BIL3184,TID0311,6.516273565222131E15,8,12:52:15
BIL8654,TID8280,6.972412714787909E15,14,16:08:41
BIL9229,TID7127,7.460481604823407E15,6,16:40:24
BIL0770,TID8139,7.982715317161195E15,7,19:20:33
BIL5683,TID1057,8.541505389362679E15,3,11:13:47
BIL7432,TID9346,9.139410766618416E15,11,15:07:45
BIL7803,TID2033,9.779169520281858E15,2,12:33:02
BIL0609,TID9492,1.0463711386701984E16,2,14:01:10
BIL2738,TID2961,1.1196171183771468E16,11,14:36:39
BIL7349,TID3107,1.1979903166635564E16,7,15:11:52
BIL4713,TID5689,1.2818496388300332E16,4,17:08:50
BIL7723,TID5444,1.3715791135481412E16,9,14:16:27
BIL2328,TID6087,1.467589651496528E16,9,16:50:33
BIL7507,TID7393,1.5703209271013016E16,7,16:43:28
BIL3911,TID8545,1.6802433919983984E16,9,12:36:22
BIL6142,TID9203,1.7978604294382992E16,1,14:57:14
BIL9946,TID1221,1.9237106594989988E16,3,19:16:40
BIL9948,TID9382,2.058370405663938E16,4,23:11:28
BIL4324,TID0540,2.2024563340604272E16,10,18:46:42
BIL6374,TID3118,2.3566282774446792E16,5,12:15:37
BIL0062,TID4035,2.52159225686582E16,8,13:16:23
BIL8532,TID1028,2.6981037148464544E16,5,15:42:01
BIL7066,TID6723,2.8869709748857416E16,12,15:39:21
BIL1410,TID0884,3.0890589431277592E16,5,17:53:20
BIL4535,TID6229,3.3052930691467152E16,10,19:10:21
BIL1323,TID7501,3.5366635839870008E16,9,11:39:48
BIL9164,TID9131,3.7842300348661528E16,8,18:53:50
BIL3951,TID8969,4.0491261373068112E16,14,17:02:59
BIL5896,TID2265,4.332564966918328E16,6,19:55:20
BIL5384,TID9513,4.6358445146026344E16,11,23:19:58
BIL3257,TID7734,4.9603536306248296E16,3,19:49:53
BIL4560,TID3066,5.3075783847685832E16,14,13:46:07
BIL2599,TID9045,5.6791088717024168E16,8,16:19:23
BIL7594,TID2115,6.0766464927216184E16,14,15:28:46
BIL8564,TID2280,6.5020117472121472E16,4,13:49:39
BIL5837,TID6078,6.9571525695170304E16,15,11:37:23
BIL1897,TID5404,7.4441532493832288E16,14,19:23:09
BIL3432,TID8811,7.9652439768400672E16,1,19:27:39
BIL7173,TID6266,8.52281105521888E16,10,19:59:12
BIL1806,TID2592,9.1194078290842176E16,8,11:07:10
BIL3817,TID4257,9.7577663771201184E16,5,11:07:27
BIL3009,TID3522,1.04408100235185568E17,3,14:36:05
BIL3349,TID3259,1.11716667251648864E17,3,15:08:49
BIL9441,TID4778,1.195368339592644E17,13,11:06:19
BIL9482,TID0850,1.27904412336413088E17,3,15:08:13
BIL3890,TID9605,1.36857721199962224E17,14,23:57:16
BIL3009,TID6675,1.46437761683959584E17,5,23:00:00
BIL0164,TID7621,1.56688405001837248E17,1,19:23:46
BIL1848,TID9028,1.67656593351966048E17,6,12:23:05
BIL5026,TID0260,1.79392554886603808E17,12,11:38:15
BIL4190,TID0997,1.9195003372866624E17,5,15:39:17
BIL0858,TID0805,2.0538653608967296E17,15,23:02:22
BIL7977,TID5391,2.19763593615950176E17,4,11:51:17
BIL0522,TID5023,2.3514704516906688E17,2,19:53:39
BIL5979,TID5456,2.51607338330902016E17,7,18:45:30
BIL5673,TID6656,2.69219852014065376E17,9,14:21:40
BIL7521,TID6877,2.8806524165505008E17,7,17:41:28
BIL1012,TID6647,3.0822980857090368E17,14,19:00:05
BIL3486,TID1366,3.2980589517086707E17,15,18:57:38
BIL8179,TID8427,3.5289230783282797E17,6,13:15:04
BIL6466,TID1678,3.7759476938112602E17,4,15:43:27
BIL9378,TID8143,4.0402640323780493E17,12,23:45:48
