Transaction ID,Bar License,Customer ID,Item ID,Quantity,total
TID4405,BL485,D30548,IT4169,7,17
TID5325,BL051,O99900,IT2840,8,23
TID9732,BL485,Q76582,IT4789,6,18
TID6083,BL980,A19912,IT4985,5,18
TID8889,BL714,D88729,IT0568,8,19
TID0104,BL421,K16341,IT3331,5,28
TID8188,BL139,L03745,IT1346,8,27
TID2571,BL137,P32691,IT4726,10,21
TID5359,BL031,V13001,IT0917,8,27
TID6706,BL948,J58094,IT2451,10,18
TID5338,BL036,Y00798,IT5090,8,29
TID1002,BL827,Z97734,IT5976,9,29
TID0222,BL070,N94210,IT1224,9,11
TID2080,BL948,B40501,IT0006,9,24
TID2267,BL361,Q63579,IT1356,7,19
TID9824,BL176,M82354,IT3119,9,8
TID9986,BL038,O82684,IT3688,9,10
TID2295,BL444,D73572,IT5986,7,21
TID3433,BL109,E46183,IT7193,5,19
TID7333,BL126,D13633,IT9115,9,27
TID1203,BL658,L55946,IT9469,6,13
TID5146,BL189,B26332,IT6134,7,8
TID1324,BL472,W44704,IT4830,6,29
TID7876,BL937,P08992,IT6178,10,21
TID4544,BL772,L26455,IT9811,6,6
TID5452,BL874,N95675,IT8585,8,9
TID4010,BL472,Q36415,IT7676,6,23
TID6583,BL973,X20236,IT5705,6,30
TID1778,BL878,I68304,IT6750,10,5
TID8667,BL696,V99441,IT9020,9,25
TID8452,BL668,V52962,IT5865,6,10
TID0523,BL913,T78060,IT5933,7,20
TID5383,BL034,N45247,IT0918,5,21
TID7965,BL865,L83178,IT1775,8,25
TID6101,BL781,Z88899,IT9042,8,19
TID6553,BL357,A18451,IT4386,8,28
TID5372,BL994,W79349,IT6415,8,23
TID0819,BL696,P08992,IT5867,8,28
TID7781,BL876,I00728,IT6156,9,16
TID7716,BL293,X07166,IT6748,6,27
TID6046,BL780,Q52558,IT4919,6,9
TID1921,BL948,C26703,IT0317,7,7
TID4537,BL302,Q55243,IT0237,9,22
TID9887,BL948,O68341,IT3086,9,29
TID4521,BL263,D13633,IT6757,8,11
TID8667,BL241,W80145,IT2226,5,19
TID4642,BL420,T88340,IT6930,6,6
TID2005,BL506,X17183,IT7551,9,25
TID3890,BL999,K08507,IT6827,9,20
TID7522,BL009,L08073,IT3481,8,12
TID0848,BL104,Y89728,IT6622,7,25
TID7692,BL851,I89987,IT4411,7,16
TID5218,BL719,D96205,IT6077,10,8
TID3280,BL895,A78348,IT2311,5,5
TID8461,BL676,W17963,IT3858,7,7
TID9255,BL646,Y63570,IT7598,9,18
TID9560,BL278,K32877,IT7608,6,22
TID8688,BL658,O29690,IT9834,5,6
TID9367,BL134,O21030,IT6425,10,22
TID0441,BL664,T84650,IT0582,7,7
TID5748,BL576,E18540,IT9764,5,19
TID6382,BL725,Q76257,IT2134,5,6
TID2326,BL657,Q48014,IT9542,9,29
TID5579,BL097,C18563,IT5790,6,6
TID9047,BL370,J16610,IT6001,10,10
TID2237,BL097,Z78928,IT0227,7,11
TID5150,BL122,V63891,IT0491,10,18
TID1425,BL591,S66143,IT7701,10,20
TID7099,BL461,T17928,IT0656,5,16
TID5068,BL142,J30596,IT8386,7,13
TID0553,BL242,G07325,IT8445,5,16
TID6254,BL576,P90464,IT4193,9,14
TID2277,BL460,P48573,IT3371,9,26
TID5594,BL744,G18155,IT8009,9,7
TID4898,BL109,M14072,IT8815,9,23
TID4193,BL947,R99250,IT7899,9,24
TID0693,BL614,T66009,IT5559,9,25
TID6659,BL103,R08587,IT3533,7,19
TID0843,BL745,S21524,IT5700,8,17
TID2836,BL230,B46816,IT6415,10,19
TID9261,BL638,O47178,IT9811,7,15
TID9701,BL664,T67335,IT1859,8,21
TID2535,BL576,S75924,IT6367,9,27
TID1293,BL655,H24849,IT3101,7,11
TID1269,BL877,M77881,IT3670,9,10
TID9484,BL515,J53997,IT0352,8,7
TID6435,BL495,O94798,IT1170,8,20
TID1293,BL117,C24060,IT6827,6,15
TID4383,BL114,O12437,IT6837,5,24
TID8783,BL842,V47640,IT1682,9,24
TID6837,BL328,H91829,IT0492,8,30
TID5422,BL571,J01244,IT9440,5,11
TID6667,BL662,Y63570,IT3346,10,19
TID2294,BL097,O94798,IT7737,7,17
TID8743,BL538,A32666,IT6385,10,28
TID0077,BL241,J87196,IT9440,5,29
TID6660,BL834,A85063,IT2025,9,26
TID4564,BL395,M31469,IT6425,10,8
TID4326,BL610,O32066,IT7440,5,30
TID5085,BL722,V90477,IT8976,7,16
TID0696,BL714,D34327,IT8996,9,19
TID0985,BL781,H04957,IT7834,9,15
TID9644,BL012,Q57104,IT3481,10,11
TID8778,BL462,Y00889,IT8360,6,21
TID6211,BL806,T64689,IT3314,7,26
TID0675,BL036,B46108,IT7880,7,11
TID0444,BL193,U09711,IT5698,9,27
TID9374,BL211,G61487,IT1530,10,22
TID7731,BL777,Q34651,IT9853,5,27
TID7372,BL478,T69519,IT8519,8,8
TID4911,BL119,G83843,IT0528,5,26
TID3485,BL837,J21515,IT4258,5,29
TID7487,BL895,A80279,IT7259,7,20
TID6202,BL576,O64417,IT4830,10,8
TID6714,BL010,Z65599,IT4257,8,25
TID7508,BL293,H72277,IT5334,9,28
TID7510,BL084,O82684,IT6123,6,25
TID8311,BL524,K84684,IT7879,10,13
TID7282,BL005,R47258,IT5522,6,17
TID7873,BL813,Y49406,IT2190,10,16
TID9484,BL162,G61487,IT4855,10,14
TID6209,BL733,W57239,IT8896,8,24
TID4063,BL226,Q46736,IT5841,5,20
TID7147,BL614,J89587,IT8825,10,29
TID8932,BL331,V89186,IT8543,6,13
TID7216,BL538,W67250,IT0136,5,15
TID8547,BL239,B44666,IT7252,7,11
TID6335,BL534,X43078,IT8241,8,27
TID6667,BL808,H21705,IT9318,6,13
TID6229,BL013,Y19417,IT2064,8,18
TID1436,BL534,T99109,IT3428,8,26
TID1128,BL675,Q34125,IT8285,8,30
TID1141,BL337,A43946,IT4540,7,27
TID1830,BL278,P93523,IT6965,7,14
TID8425,BL662,F03703,IT6396,6,28
TID6985,BL585,D33339,IT5221,9,16
TID3204,BL090,Q90535,IT7945,7,8
TID2053,BL009,J37188,IT4504,5,13
TID7036,BL736,S07675,IT7672,8,12
TID6727,BL876,L86418,IT0332,7,6
TID1210,BL534,T64795,IT7003,5,13
TID1239,BL865,A80454,IT7421,8,21
TID5879,BL722,O95744,IT4137,5,30
TID5663,BL122,B55289,IT6717,9,27
TID7188,BL658,B60050,IT0005,10,9
TID5218,BL250,A70177,IT6602,6,21
TID6077,BL103,M45170,IT6967,9,29
TID1993,BL894,N94133,IT7177,5,14
TID4890,BL558,A32287,IT1976,9,21
TID2951,BL142,K16509,IT4552,10,14
TID0326,BL462,H42305,IT3412,5,8
TID1718,BL456,W34984,IT8190,7,30
TID3218,BL656,O50470,IT7706,10,5
TID2861,BL471,F87085,IT2025,6,18
TID0241,BL640,P70920,IT5089,7,9
TID2984,BL850,V94140,IT9600,9,29
TID4184,BL126,V46170,IT7090,9,27
TID0974,BL941,C99112,IT1249,9,8
TID0180,BL311,P54572,IT5628,9,7
TID2682,BL416,F11324,IT2034,10,21
TID1592,BL864,C61236,IT0491,5,18
TID8448,BL057,I53123,IT5841,8,27
TID3471,BL856,L03745,IT2567,8,28
TID9592,BL555,B24838,IT2534,6,18
TID4310,BL174,A15098,IT9853,9,20
TID8334,BL076,W61459,IT2145,6,29
TID7766,BL492,E04153,IT3342,9,8
TID4963,BL460,Q53721,IT4777,5,7
TID1851,BL137,X51639,IT1436,9,5
TID0754,BL659,D76964,IT8842,7,13
TID9829,BL713,V86060,IT6827,9,12
TID2133,BL715,C50041,IT4392,7,6
TID8409,BL438,O93287,IT5089,9,21
TID1324,BL001,K82805,IT4830,5,30
TID8793,BL481,U70422,IT1840,10,14
TID9786,BL108,H80530,IT3917,9,18
TID7938,BL715,N86239,IT4464,8,21
TID0148,BL328,F62144,IT5356,10,5
TID3731,BL491,E96416,IT5504,10,16
TID1342,BL337,Q93290,IT1033,5,21
TID0887,BL758,A62347,IT8922,6,8
TID4636,BL086,U87044,IT6999,9,9
TID2919,BL558,Z55378,IT9717,7,23
TID8927,BL877,B34718,IT7090,9,16
TID2052,BL622,R59191,IT7230,10,27
TID2498,BL909,Q24902,IT7701,6,22
TID8566,BL420,C32182,IT7877,8,10
TID4963,BL954,Q49797,IT0332,10,30
TID0264,BL713,W85526,IT4645,9,11
TID5292,BL810,A79198,IT2692,10,7
TID2987,BL320,B01399,IT4530,5,27
TID9073,BL320,V56281,IT3818,5,9
TID8427,BL898,E26247,IT7076,5,16
TID6078,BL264,Z84274,IT3619,8,19
TID5053,BL877,Y64445,IT3823,6,6
TID6656,BL665,H00114,IT1033,6,18
TID3893,BL591,A32287,IT3465,7,14
TID7740,BL126,A55383,IT3668,8,19
TID6131,BL656,W93914,IT5228,5,13
TID9836,BL407,M96111,IT4460,9,25
TID4250,BL878,B90093,IT2064,9,8
TID6247,BL555,K79583,IT4605,10,13
TID6891,BL091,N95541,IT1928,8,13
TID4465,BL758,Q29436,IT0171,9,9
TID5896,BL616,P47655,IT6801,6,16
TID8133,BL770,E58015,IT5698,9,19
TID4128,BL000,R64630,IT5459,6,23
TID2352,BL919,Q30633,IT7341,9,7
TID4538,BL239,I88009,IT8497,7,5
TID1191,BL852,I06784,IT1994,10,8
TID3554,BL618,H74589,IT6599,9,6
TID1249,BL676,W62987,IT0836,8,16
TID4176,BL688,Q99279,IT2920,8,6
TID0441,BL166,Q01626,IT1518,9,8
TID7968,BL020,Y61954,IT6880,10,25
TID3292,BL665,V63891,IT8896,5,24
TID5153,BL453,V10072,IT9291,10,11
TID7351,BL783,W05607,IT9814,7,16
TID5422,BL129,T60263,IT1968,5,20
TID3433,BL592,V83033,IT0235,7,9
TID6070,BL914,I35017,IT7177,7,7
TID4781,BL722,D22872,IT5600,9,19
TID2422,BL296,T70493,IT4256,9,27
TID8377,BL359,A78348,IT1075,8,10
TID1718,BL941,P58968,IT8051,5,12
TID8424,BL531,B41287,IT0599,9,7
TID4128,BL862,A81602,IT8051,7,12
TID2975,BL842,Q59910,IT0171,6,22
TID9061,BL126,E96416,IT6348,6,27
TID7855,BL841,R93074,IT5619,8,11
TID9292,BL062,H90377,IT6946,5,15
TID0519,BL616,X26816,IT0620,9,19
TID7539,BL623,C99112,IT6178,6,23
TID3405,BL923,A19012,IT6247,6,6
TID8378,BL898,L29636,IT1033,9,10
TID3618,BL948,B84117,IT1662,5,30
TID4890,BL963,K32902,IT5790,6,27
TID2111,BL660,A38972,IT6396,8,27
TID8127,BL758,T79430,IT7737,5,27
TID9471,BL486,B28980,IT3823,7,26
TID7949,BL877,U69482,IT3097,5,28
TID0384,BL950,O39029,IT2025,10,28
TID0593,BL357,S48103,IT5705,6,24
TID8663,BL233,R00088,IT8500,9,11
TID7735,BL386,P81341,IT0620,6,20
TID0582,BL856,T67335,IT6077,8,26
TID6914,BL868,C12441,IT0599,9,6
TID2063,BL584,T03983,IT5256,8,12
TID5692,BL576,A80454,IT4086,5,6
TID8693,BL614,Y50973,IT1114,8,30
TID2819,BL264,I11830,IT9223,7,25
TID9993,BL484,T64795,IT6827,7,20
TID5501,BL357,Y70193,IT2122,5,27
TID4868,BL377,R44947,IT6678,6,11
TID6326,BL879,Y93671,IT8709,10,20
TID5458,BL265,O39641,IT2251,9,12
TID7632,BL850,M73678,IT1750,9,7
TID5158,BL899,I53123,IT3782,6,12
TID7724,BL000,C84819,IT7252,5,13
TID5544,BL536,J34877,IT1840,6,21
TID2129,BL364,L83178,IT1677,10,7
TID5496,BL695,T78343,IT8745,5,16
TID6890,BL577,W22814,IT5379,8,11
TID4982,BL109,F53375,IT3838,5,7
TID2835,BL656,L92672,IT8582,9,18
TID3107,BL719,I90741,IT8442,7,30
TID2318,BL532,Z72831,IT8996,7,27
TID0277,BL480,Q30130,IT7945,9,20
TID4591,BL386,L18707,IT1224,10,15
TID5601,BL536,L92231,IT5732,8,24
TID5817,BL810,K21583,IT0851,9,7
TID7487,BL689,R66076,IT7899,10,28
TID0889,BL402,Q86432,IT6887,7,24
TID9535,BL134,A12422,IT8619,6,21
TID4657,BL792,E13552,IT4827,10,29
TID6043,BL145,H36468,IT3947,10,20
TID1361,BL577,O50201,IT6340,5,23
TID7707,BL614,B16976,IT0582,6,23
TID9785,BL280,B41610,IT6365,5,19
TID5712,BL337,L14039,IT6367,9,29
TID6361,BL668,R38026,IT8924,10,29
TID9187,BL472,Q34218,IT3214,10,14
TID1823,BL176,H62857,IT8497,5,21
TID5153,BL189,D07109,IT4585,10,12
TID1602,BL665,M64800,IT9171,9,23
TID9909,BL113,I91403,IT8523,8,20
TID1405,BL639,C36107,IT5865,9,25
TID9847,BL302,H80548,IT9806,5,20
TID3682,BL757,Q64325,IT1840,9,9
TID3378,BL011,R89972,IT1154,6,22
TID3250,BL102,T61750,IT2505,9,7
TID7426,BL534,P85046,IT1840,9,10
TID3207,BL668,Z27629,IT5662,5,10
TID8561,BL228,X20236,IT1593,9,19
TID4804,BL102,L15535,IT3912,9,25
TID3439,BL413,D08217,IT8009,9,10
TID4184,BL119,R62661,IT2885,7,27
TID5805,BL797,Y64703,IT5459,7,16
TID1893,BL948,R81665,IT0375,8,16
TID2855,BL665,C02423,IT2448,9,13
TID9693,BL140,H45104,IT0266,9,7
TID2698,BL087,O46821,IT3965,9,9
TID0007,BL695,C13076,IT0352,6,22
TID0170,BL715,K03735,IT7598,9,12
TID3055,BL218,J38352,IT6367,6,25
TID9052,BL758,U69871,IT3668,8,10
TID9252,BL215,P47655,IT6827,8,29
TID2323,BL183,B01399,IT0332,10,15
TID8038,BL480,K46372,IT4919,7,10
TID7155,BL806,E55906,IT0003,9,29
TID8373,BL877,Q29436,IT3364,10,25
TID6043,BL117,J41899,IT2188,7,16
TID2919,BL530,A32287,IT3305,9,29
TID5495,BL660,W22814,IT8709,5,7
TID3959,BL572,M52889,IT9599,7,29
TID3143,BL389,O61955,IT4409,7,19
TID3471,BL584,M59806,IT3947,8,21
TID8693,BL189,H24849,IT4256,7,23
TID6854,BL657,Z92494,IT9550,7,19
TID3804,BL248,B23942,IT3619,7,7
TID9696,BL638,O59111,IT2505,6,23
TID3764,BL103,H78187,IT7857,7,19
TID3481,BL545,W17963,IT9318,10,23
TID9945,BL086,H84679,IT7875,7,14
TID2680,BL062,A52877,IT1799,5,25
TID4788,BL338,T69519,IT8233,8,11
TID8679,BL736,T70493,IT8930,7,19
TID5145,BL545,T69519,IT4504,8,11
TID6391,BL300,E44306,IT7875,9,26
TID9779,BL167,X50349,IT6599,8,26
TID1751,BL914,W51110,IT1317,5,18
TID5006,BL640,Y63570,IT3339,8,6
TID0780,BL341,H61939,IT4758,5,25
TID5532,BL700,U51073,IT6135,6,14
TID3719,BL416,O78326,IT2034,6,18
TID8425,BL480,I19119,IT8073,9,8
TID7393,BL646,W91649,IT4153,10,25
TID7703,BL174,L62613,IT8081,8,19
TID9454,BL531,W12395,IT7715,5,22
TID1594,BL456,H34851,IT8442,6,29
TID5167,BL715,W85610,IT6544,8,24
TID9929,BL767,A46267,IT4256,6,12
TID2988,BL655,S54003,IT9524,6,13
TID9682,BL937,Q34043,IT0917,5,27
TID6339,BL999,K11687,IT6599,7,14
TID8478,BL001,E85433,IT4474,6,19
TID4719,BL948,R38026,IT0519,6,19
TID0814,BL878,Q97230,IT3735,5,13
TID1428,BL070,M65791,IT9621,10,23
TID2732,BL792,E90744,IT0003,9,15
TID1973,BL013,H00114,IT7090,8,23
TID9592,BL009,E00208,IT7598,9,14
TID3899,BL014,N88605,IT8952,8,27
TID4257,BL545,K46916,IT4193,8,9
TID7743,BL895,I34417,IT0003,5,6
TID2321,BL278,A55651,IT1033,10,27
TID9025,BL899,O32066,IT7814,7,8
TID2356,BL481,A19912,IT6642,10,16
TID9359,BL765,Y59387,IT2122,6,9
TID7188,BL813,O38874,IT7419,7,28
TID5288,BL421,K41753,IT3119,10,29
TID6913,BL189,P92752,IT5256,8,14
TID0808,BL713,P13642,IT7039,7,14
TID9462,BL126,H61426,IT7259,5,20
TID9367,BL665,X29780,IT6053,7,11
TID4864,BL118,F02957,IT3378,5,18
TID1540,BL583,L14039,IT4257,7,7
TID1668,BL618,R88216,IT3164,7,9
TID9326,BL506,W67250,IT8244,9,30
TID1703,BL852,S08344,IT8977,9,27
TID2246,BL615,E20245,IT3331,7,20
TID9381,BL994,A93023,IT2674,9,22
TID2726,BL460,N83433,IT5619,10,16
TID7777,BL239,N86096,IT4325,8,30
TID9872,BL646,A19912,IT1859,8,20
TID9465,BL842,S64675,IT7421,9,24
TID9580,BL436,L41060,IT7069,5,13
TID8247,BL020,Y80748,IT9291,10,23
TID7590,BL122,I56814,IT4298,7,6
TID4312,BL457,M96111,IT6415,8,9
TID4757,BL085,K30390,IT8745,6,25
TID6637,BL994,W79454,IT6748,5,9
TID6682,BL280,V41671,IT6827,7,22
TID2369,BL797,X83806,IT1750,10,15
TID6470,BL241,H42305,IT0769,9,5
TID7974,BL954,H49309,IT9613,8,25
TID0655,BL389,G31564,IT6619,5,14
TID6197,BL736,F11324,IT0405,10,7
TID6314,BL868,J86798,IT6134,7,16
TID8943,BL577,R81896,IT2311,5,6
TID0264,BL009,N14568,IT8631,5,12
TID4101,BL933,B15461,IT4911,5,24
TID1633,BL950,P85046,IT1994,8,22
TID3118,BL535,X99325,IT3944,9,28
TID6545,BL675,R78303,IT3465,9,8
TID3195,BL084,M66439,IT8115,9,20
TID4176,BL950,N18557,IT4499,9,13
TID2915,BL426,G94536,IT6757,5,18
TID1191,BL009,H42305,IT9387,8,9
TID8505,BL402,V89186,IT5742,9,11
TID8898,BL444,V80473,IT0082,6,14
TID0551,BL656,P85727,IT6648,6,24
TID1098,BL623,G41366,IT4137,8,12
TID8425,BL166,R99250,IT6037,6,16
TID3677,BL593,E12642,IT1473,9,13
TID2858,BL933,V73439,IT1677,10,6
TID5752,BL951,X72910,IT7911,7,26
TID1973,BL486,O23277,IT3823,5,30
TID8006,BL640,I14439,IT4256,10,15
TID9337,BL491,R96025,IT1114,8,11
TID5810,BL134,Y82338,IT6827,7,26
TID5958,BL576,X96213,IT9550,8,26
TID0714,BL024,A92111,IT8003,8,22
TID8478,BL126,R38928,IT6077,8,10
TID8498,BL661,V36334,IT7630,6,23
TID7876,BL878,D72562,IT2064,7,23
TID9807,BL698,T90108,IT8585,6,11
TID5405,BL136,U87044,IT2214,5,27
TID5598,BL380,S13992,IT2122,7,30
TID0458,BL231,Q47935,IT8683,10,28
TID8893,BL087,N23313,IT7814,6,25
TID9748,BL534,O12437,IT8425,5,22
TID6221,BL591,W54848,IT4789,10,15
TID8006,BL706,B35770,IT7715,5,29
TID4818,BL179,G23251,IT2391,8,15
TID9206,BL436,C13382,IT8523,6,28
TID5642,BL880,R62661,IT4278,9,24
TID3609,BL618,N04287,IT0317,6,11
TID5901,BL176,Y91340,IT8003,7,30
TID2603,BL758,Q43691,IT8342,9,14
TID4986,BL231,B63729,IT3619,10,16
TID8465,BL134,G36325,IT5994,5,20
TID6507,BL126,A52877,IT0768,5,16
TID5152,BL227,V36768,IT5550,9,9
TID1550,BL994,V61556,IT7230,7,22
TID8585,BL592,J11205,IT8076,8,7
TID8965,BL937,W08834,IT5532,9,25
TID0033,BL791,L84852,IT3710,9,20
TID8738,BL109,P82086,IT1114,10,14
TID9428,BL660,E11496,IT5570,9,25
TID4955,BL541,Y84705,IT8241,7,29
TID2925,BL622,W99632,IT5976,10,16
TID5594,BL714,O96588,IT2190,7,7
TID7867,BL770,N23313,IT7090,8,30
TID4443,BL220,R58673,IT1156,6,21
TID2765,BL951,Z05354,IT1909,10,16
TID1198,BL880,D72214,IT1712,5,29
TID5754,BL512,H94447,IT6897,7,25
TID3713,BL874,F35404,IT1799,8,27
TID1386,BL623,U82293,IT2188,8,8
TID3825,BL583,H94447,IT3214,10,9
TID6085,BL070,U88711,IT8115,5,27
TID7690,BL233,G63285,IT2505,7,21
TID7741,BL302,L21727,IT3465,7,21
TID5822,BL878,C18563,IT8952,9,26
TID6667,BL036,A12941,IT6093,9,14
TID5911,BL047,K95135,IT8745,7,9
TID7411,BL797,M87544,IT5732,10,13
TID2280,BL541,A36409,IT3366,7,21
TID7949,BL614,E04603,IT5958,5,26
TID1507,BL296,F63956,IT5884,5,23
TID8492,BL579,W81188,IT7768,10,24
TID2992,BL758,B19372,IT3346,5,15
TID2031,BL941,E67949,IT0769,9,22
TID6754,BL302,P37166,IT4789,7,6
TID9477,BL665,N78685,IT2103,7,18
TID0039,BL665,T21970,IT8482,7,24
TID9532,BL480,D68836,IT3668,9,27
TID1351,BL713,T88340,IT5994,5,24
TID2317,BL444,F96218,IT8362,8,27
TID3934,BL258,Q07582,IT3782,5,5
TID7711,BL062,Q43691,IT5662,8,20
TID2269,BL004,R23615,IT7440,8,6
TID1602,BL114,Q90535,IT6068,10,21
TID6754,BL416,I01610,IT0492,7,17
TID7367,BL248,L43333,IT5958,6,19
TID0419,BL108,Z69906,IT6425,8,11
TID3764,BL146,H07507,IT0528,6,19
TID1636,BL228,U89884,IT8069,8,13
TID4238,BL962,S34698,IT9318,6,28
TID1993,BL564,K26535,IT2266,8,22
TID5952,BL489,F60209,IT0136,8,8
TID7021,BL504,C58235,IT7624,5,14
TID5362,BL706,Y82856,IT0352,8,7
TID0067,BL300,K82076,IT6757,8,11
TID9305,BL941,K90453,IT2860,10,14
TID4980,BL264,X44453,IT2840,10,10
TID6200,BL406,Y60728,IT2885,5,20
TID8234,BL026,X08747,IT7003,8,26
TID2840,BL228,C62064,IT1511,10,10
TID5768,BL683,U48604,IT9894,9,11
TID4776,BL492,V41671,IT0523,9,23
TID0985,BL616,X82398,IT0543,8,8
TID2610,BL719,W64589,IT5559,10,21
TID2573,BL683,D28433,IT2034,8,28
TID2647,BL922,B09824,IT0405,6,23
TID0486,BL765,F40629,IT1428,5,19
TID2680,BL328,M32508,IT5334,7,20
TID6254,BL837,S03435,IT3440,8,21
TID7669,BL973,U31242,IT9371,8,20
TID7284,BL009,T46654,IT5700,6,14
TID5405,BL634,A00188,IT7341,9,8
TID5383,BL744,K73494,IT7076,10,10
TID5277,BL616,F56698,IT8065,10,27
TID8783,BL732,I38163,IT1261,9,30
TID5843,BL296,R40178,IT3440,5,19
TID8779,BL024,W53992,IT1928,5,30
TID8053,BL576,N00298,IT3364,7,28
TID5990,BL288,Y34108,IT7737,5,28
TID3852,BL087,W17963,IT1370,10,21
TID5554,BL728,J21515,IT0405,8,15
TID6200,BL227,C10696,IT7619,7,22
TID2498,BL545,K52040,IT3299,7,20
TID9761,BL656,C84008,IT9599,5,6
TID2748,BL137,W13988,IT9814,9,26
TID4446,BL285,B27019,IT5700,8,21
TID3943,BL183,K73494,IT6880,10,8
TID3070,BL520,I08021,IT2760,8,15
TID3027,BL084,N86806,IT2488,5,20
TID7929,BL504,E77351,IT0005,10,21
TID6509,BL119,L18707,IT3593,9,28
TID1683,BL713,K34435,IT1481,9,27
TID5052,BL850,C68626,IT6906,6,7
TID7925,BL614,V91901,IT4895,9,30
TID3321,BL877,Q90535,IT0696,5,18
TID4482,BL571,V44422,IT8063,7,11
TID8627,BL167,T74266,IT7193,8,17
TID0270,BL009,R41859,IT2134,8,8
TID5173,BL745,X48748,IT6385,7,29
TID2265,BL179,Z88899,IT1057,5,15
TID3875,BL928,P78057,IT3070,5,13
TID7114,BL893,S16217,IT4540,8,16
TID4443,BL241,I89987,IT5705,8,14
TID3328,BL999,Z62790,IT8523,6,10
TID6222,BL834,N36787,IT8497,9,30
TID5684,BL877,C38562,IT3206,10,7
TID5023,BL382,D12719,IT6897,7,21
TID7686,BL836,A15098,IT8190,10,6
TID7112,BL865,D08217,IT7406,9,29
TID5456,BL604,C32817,IT6748,10,24
TID2780,BL950,S04319,IT3944,9,18
TID4631,BL475,T08718,IT4704,5,9
TID7493,BL524,A90423,IT0019,5,26
TID4665,BL049,E49348,IT4895,7,8
TID4978,BL341,X76770,IT0630,9,19
TID7884,BL872,P19866,IT4789,10,27
TID1993,BL070,T66009,IT4704,6,12
TID3098,BL233,D74627,IT5742,10,30
TID8640,BL484,Y60728,IT6068,8,14
TID4524,BL534,Z41286,IT2266,10,28
TID0056,BL688,W99632,IT6068,6,10
TID9270,BL093,J30596,IT5440,10,14
TID3657,BL472,U86718,IT7676,8,21
TID7021,BL296,L98809,IT2125,5,11
TID9898,BL532,X51639,IT5994,7,9
TID7097,BL484,I73674,IT5867,5,23
TID6724,BL951,Y70193,IT1994,7,26
TID8573,BL877,S02532,IT4712,8,27
TID8411,BL661,Q34918,IT5933,6,8
TID5768,BL337,T81207,IT7633,6,13
TID3835,BL555,B03132,IT5976,10,16
TID8430,BL777,S34350,IT8815,7,28
TID9591,BL484,J11205,IT4386,9,11
TID2919,BL512,H16212,IT8696,7,14
TID4712,BL136,M30822,IT6906,6,8
TID4230,BL484,D93415,IT1154,5,13
TID4317,BL544,M29128,IT3214,6,28
TID2587,BL538,W11092,IT4598,5,7
TID1180,BL949,N23313,IT9171,5,10
TID2063,BL709,M12626,IT8883,7,15
TID2008,BL758,G35452,IT8582,10,29
TID0218,BL173,E77351,IT2451,10,21
TID9137,BL250,R62109,IT5356,6,6
TID7896,BL226,Y39058,IT2405,10,28
TID7912,BL328,D51845,IT4605,9,21
TID8813,BL377,K78803,IT9099,10,8
TID2258,BL173,Y33100,IT4460,6,29
