barName,barLicense,State of Residence,Hours of Op
CHICKEN RICO,BL278,ME,7AM--11PM
EAT MUST BE FIRST,BL716,NH,7AM--11PM
BLUE JEAN CAFE,BL416,PA,6AM--12PM
CLUBHOUSE BAR & GRILL,BL745,WV,9AM--11PM
DIMIS CAFå AND GRILL  INC.,BL850,TN,10AM--11PM
CERIELLO FINE FOODS,BL618,AK,7AM--11PM
DRIFTERS RAW BAR & GRILL,BL880,MO,7AM--11PM
ABC SUSHI,BL259,FL,8AM--12PM
GOLDEN WEST CAFå  INC.,BL806,KS,8AM--12PM
CLUB RIO & TOUCH OF CLASS,BL031,WV,8AM--11PM
ENRICO'S SPORTS CAFE,BL433,NC,9AM--12PM
BROADWAY DINER,BL791,WI,7AM--11PM
CHARLOTTE'S,BL480,NE,7AM--11PM
GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST),BL140,FL,10AM--12PM
DAVID'S RESTAURANT & DELI,BL841,GA,8AM--12PM
BIG KAHUNA CANTINA,BL316,SD,10AM--12PM
FAMOUS RESTAURANT,BL821,MO,7AM--12PM
GOOD TIMES BAR AND LOUNGE,BL336,WV,9AM--12PM
BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,BL646,AK,8AM--12PM
D J'S GASLIGHT,BL189,AK,10AM--11PM
BRASS MONKEY SALOON,BL296,CT,7AM--11PM
GERMANIO'S RESTAURANT,BL744,NE,10AM--11PM
ARAMARK/PNC,BL167,ME,7AM--11PM
CANTON COVE,BL218,KS,6AM--12PM
DUTCH POT CAFå,BL948,MO,8AM--12PM
CHARLIE & DEE RESTAURANT,BL005,UT,10AM--11PM
EDENS LOUNGE,BL250,AR,7AM--11PM
CHARLES ST DELI,BL475,NV,10AM--11PM
BUFFALO WINGGS AND BEER,BL842,VT,6AM--12PM
FIVE GUYS @ BREWERS HILL,BL736,WV,7AM--11PM
DUCKY PLEASURE CLUB,BL166,KS,10AM--11PM
ARAMARK FHC SPORTS (BAR 252-253),BL947,OR,7AM--11PM
CINCO DE MAYO,BL288,CA,7AM--12PM
BYZANTIO CAFå,BL010,NY,6AM--11PM
CHARLIE & DEE RESTAURANT,BL093,GA,8AM--12PM
DOWN THE HATCH,BL278,MT,7AM--11PM
CHINESE KITCHEN,BL714,DE,9AM--12PM
DUCK'S BLACK SATIN LOUNGE,BL709,HI,9AM--12PM
CLUB MATE,BL143,NC,7AM--12PM
CINGHIALE,BL924,PA,10AM--12PM
GOOD TIMES BAR AND LOUNGE,BL924,NE,8AM--12PM
BERMUDA BAR,BL229,OK,8AM--11PM
ARCOS,BL619,MA,9AM--12PM
DONNA'S CHARLES VILLAGE  LLC,BL842,null,7AM--11PM
ANGELS ROCK BAR,BL231,NY,9AM--11PM
DOMINICANO INTERNACIONAL,BL231,TN,8AM--12PM
FIVE GUYS FAMOUS BURGERS & FRIES,BL109,FL,9AM--11PM
CIRCUS BAR & RESTAURANT,BL534,WY,7AM--11PM
BREEZE INC.,BL005,FL,8AM--12PM
CLUB ONE,BL531,VA,9AM--12PM
DING HOW RESTAURANT,BL421,UT,9AM--12PM
ENRICO'S SPORTS CAFE,BL532,MI,9AM--11PM
CAMDEN PUB,BL767,MA,6AM--11PM
COOKIE'S  CITY  LINE  DINER,BL576,UT,9AM--11PM
AIRPORT BAR & GRILL  INC.,BL656,ME,7AM--11PM
BOCCACCIO,BL357,LA,8AM--12PM
CHARLESTON,BL715,WY,7AM--12PM
BROADWAY DINER,BL534,ME,7AM--11PM
europe restaurant & catering,BL484,KS,7AM--11PM
GOLDEN NUGGET LOUNGE,BL012,NV,10AM--12PM
DUCKY PLEASURE CLUB,BL688,AL,8AM--11PM
family diner,BL298,VT,7AM--12PM
COSMOS RESTAURANT-CARRYOUT (5427-29),BL665,NY,6AM--12PM
CATTLE & FIN GRILL,BL520,FL,10AM--12PM
3 MILES HOUSE  INC.,BL364,AZ,6AM--12PM
GILMOR PLEASURE CLUB,BL317,CA,9AM--12PM
CATON HOUSE RESTAURANT,BL258,MD,6AM--12PM
BALTIMORE ESTONIAN SOCIETY,BL479,KS,9AM--11PM
CINGHIALE,BL877,VT,8AM--12PM
CLUB HAREM,BL481,AR,10AM--12PM
BERGER'S TAVERN  INCORPORATED,BL481,NH,8AM--11PM
FLAMERS BURGER & CHICKEN,BL806,MI,8AM--11PM
GARDEN BEEF & BEER,BL801,MO,8AM--12PM
GOLDEN KEY RESTAURANT,BL184,ND,8AM--11PM
ANNS AT LEXINGTON PLACE,BL506,NH,9AM--11PM
CLUB 1722,BL298,AK,9AM--12PM
BURGER KING #10294,BL856,NC,10AM--12PM
BELVEDERE TOWERS CAFå,BL665,NH,10AM--12PM
GLADIATORS ASSOCIATIONS  INC,BL293,GA,7AM--12PM
DREAMS INN,BL894,CT,8AM--11PM
AMBASSADOR DINNING ROOM,BL878,HI,10AM--11PM
FORT CHARLES PUB,BL797,HI,7AM--12PM
ASAHI SUSHI,BL706,CA,8AM--11PM
300 SOUTH ANN STREET,BL320,ME,8AM--11PM
CHIYO SUSHI,BL231,NE,8AM--11PM
CAFå ON THE SQUARE  LLC,BL722,ME,9AM--11PM
BURGER KING #2610,BL000,NY,9AM--12PM
CLIFTON PARK GOLF COURSE SNACK BAR,BL005,FL,6AM--12PM
CLIPPER MILL INN,BL285,FL,10AM--12PM
BARNES & NOBLE BOOKSELLERS,BL622,MO,6AM--12PM
BURGER KING # 10293,BL020,HI,7AM--11PM
FULTON RESTAURANT,BL001,GA,9AM--11PM
DREAM TAVERN  CARRIBEAN  U.S.A.,BL413,AR,7AM--11PM
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,BL610,OK,6AM--12PM
COMMON GROUND,BL698,LA,9AM--12PM
COTTON CLUB,BL043,NH,9AM--12PM
BRASS MONKEY SALOON,BL034,AL,6AM--11PM
CHARLIE & DEE RESTAURANT,BL484,AL,10AM--12PM
BRENDAL  INC.,BL034,CT,9AM--12PM
COSMOPOLITAN BAR & GRILL,BL999,MS,9AM--11PM
FULTON RESTAURANT    (2201 1/2 FULTON AVENUE),BL950,ME,9AM--12PM
AMBASSADOR DINNING ROOM,BL504,CA,8AM--12PM
ANGELINA'S,BL512,AZ,9AM--12PM
GLADIATORS ASSOCIATIONS  INC,BL058,WY,8AM--12PM
BURGER KING # 13360,BL506,GA,8AM--11PM
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,BL636,CT,7AM--11PM
BACKSTRETCH SALOON,BL114,UT,8AM--11PM
B & J RESTAURANT,BL471,KS,8AM--11PM
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,BL436,LA,7AM--12PM
DREAM TAVERN  CARRIBEAN  U.S.A.,BL005,CT,8AM--12PM
DOMINO SUGAR CAFATERIA OPERATION # 65227,BL129,MS,6AM--12PM
null,BL972,CO,9AM--12PM
FIVE GUYS @ BREWERS HILL,BL676,AZ,7AM--11PM
FULTON RESTAURANT    (2201 1/2 FULTON AVENUE),BL941,NH,9AM--11PM
caribbean paradise,BL076,TN,8AM--11PM
CHIC & TROUT (1007-09),BL489,CA,10AM--12PM
CHEERLEADERS,BL515,MD,7AM--11PM
DARKER THAN BLUE,null,NE,9AM--12PM
EDISON   LOUNGE,BL460,SD,7AM--12PM
FIELDER'S TAVERN,BL263,CT,8AM--12PM
EDGAR'S INC.--BALTIMORE  MD,BL042,HI,8AM--11PM
CHESAPEAKE WINE COMPANY,BL426,RI,8AM--11PM
CLASSIC CAFE EXPRESS,BL520,HI,8AM--11PM
CLUB OKAPI,BL577,SD,9AM--12PM
ECLECTIC CAFå,BL456,TN,9AM--11PM
ARIZONA BAR & GRILL,BL114,MO,6AM--12PM
BUTTS & BETTY'S TAVERN  INC.,BL524,AL,9AM--12PM
GEN-JOSEPH HALLER POST #95  AMERICAN LEGION  INC.,BL868,OK,10AM--11PM
CASTAWAY'S BAR &  GRILL,BL851,OK,8AM--11PM
BRASS MONKEY SALOON,BL962,DE,6AM--11PM
FELL'S POINT CARRYOUT,BL783,HI,7AM--11PM
BREWSTER'S TAVERN,BL661,NY,10AM--11PM
CC LOUNGE,BL456,CO,8AM--11PM
BUSTER'S PUB,BL530,WV,10AM--12PM
CHARLES RESTAURANT  &  CARRYOUT,BL239,HI,8AM--12PM
CHICKEN RICO,BL471,MD,7AM--12PM
CHAMPAGNE TONY'S,BL174,GA,9AM--11PM
CLUB CONFETTI,BL241,VA,6AM--12PM
DESERT CAFE'(1605-07),BL062,DC,8AM--12PM
ALDO'S   RESTAURANT,BL239,NE,7AM--12PM
FLAMERS BURGER & CHICKEN,BL510,ME,10AM--12PM
COLD STONE CREAMERY# 102,BL765,AL,6AM--12PM
GEN-JOSEPH HALLER POST #95  AMERICAN LEGION  INC.,BL001,AZ,8AM--11PM
CIAO BELLA RESTAURANT,BL031,VA,10AM--12PM
BARNES & NOBLE BOOKSELLERS,BL005,CO,9AM--11PM
EDGAR'S INC.--BALTIMORE  MD,BL842,AR,9AM--12PM
CAMERON'S SEAFOOD,BL395,GA,8AM--11PM
EDIE'S DELI & GRILL,BL087,IL,10AM--12PM
BARNES & NOBLE BOOKSELLERS,BL652,ME,7AM--11PM
BLUE JEAN CAFE,BL579,AZ,7AM--11PM
BURKE'S CAFE  INCORPORATED,BL183,MO,10AM--12PM
B,BL117,MO,7AM--12PM
BRASSERIE TATIN,BL538,IL,7AM--12PM
CLUB CHOICES,BL665,TN,7AM--12PM
ARAMARK FHC SPORTS  (MAIN KITCHEN),BL981,OR,7AM--12PM
CREATIVE ALLIANCE,BL334,IN,8AM--12PM
EL RINCONCITO PERUANO,BL797,WV,7AM--12PM
CAFE MANET,BL111,CT,7AM--11PM
null,BL043,MD,6AM--11PM
BELT STREET PUB,BL698,CT,9AM--12PM
GARDEN RESTAURANT,BL531,AK,7AM--11PM
CHINA EUTAW EXPRESS,BL659,FL,6AM--12PM
CHUCK'S,BL239,NH,7AM--12PM
ARIZONA BAR & GRILL,BL524,HI,9AM--11PM
5-MILE HOUSE,BL433,TN,9AM--11PM
GOLDEN NUGGET,BL515,OR,7AM--11PM
CHICKEN RICO,BL072,WV,6AM--11PM
FRIEND'S RESTAURANT AND SPIRITS,BL481,CT,8AM--12PM
CARIBOU COFFEE,BL924,AR,7AM--11PM
CLUBHOUSE BAR & GRILL,BL544,CO,6AM--11PM
FOGO DE CHAO,BL407,MO,9AM--11PM
BURGER KING #1950,BL510,MO,7AM--11PM
CAFå AZAFRAN,BL189,AK,7AM--11PM
CASTAWAY'S BAR &  GRILL,BL298,HI,9AM--12PM
CARLOS O'CHARLIES,BL534,TN,8AM--12PM
DOMINO SUGAR CAFATERIA OPERATION # 65227,BL591,GA,9AM--11PM
GARDEN BEEF & BEER,BL433,WV,8AM--12PM
DOMINO SUGAR CAFATERIA OPERATION # 65227,BL982,MI,9AM--11PM
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,BL714,NV,7AM--11PM
COLD STONE CREAMERY #1479,BL534,TN,8AM--11PM
A & W RESTAURANT,BL337,WY,8AM--12PM
AKBAR RESTAURANT,BL530,MS,8AM--11PM
ARAMARK FHC SPORTS (BAR 236),BL655,MO,8AM--11PM
EASTSIDE  SPORTS  SOCIAL  CLUB,BL322,NE,10AM--11PM
CATCH 22 SALOON,BL126,GA,8AM--11PM
CANTON'S PEARLS,BL119,MO,8AM--11PM
ASAHI SUSHI,BL743,CO,6AM--11PM
BARNES & NOBLE BOOKSELLERS,BL443,SD,6AM--11PM
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,BL060,DC,6AM--11PM
GERMANIO'S RESTAURANT,BL924,CT,10AM--12PM
B & J RESTAURANT,BL618,WV,8AM--11PM
B & J RESTAURANT,BL167,GA,9AM--11PM
743 S. MONTFORD INC.,BL770,CO,9AM--12PM
DIMIS CAFå AND GRILL  INC.,BL060,NY,8AM--12PM
BURKE'S CAFE  INCORPORATED,BL616,TN,9AM--12PM
FILLIN' STATION,BL797,WV,9AM--11PM
BOUILLABAISSE CAFå,BL544,OR,9AM--11PM
CARLOS O'CHARLIES,BL457,MO,7AM--11PM
CATALINA RESTAURANT,BL311,DC,7AM--12PM
club charles zodiac     (1724-1726 n. charles st),BL484,CO,8AM--12PM
ANGELS ROCK BAR,BL022,MO,7AM--11PM
DUTCH POT CAFå,BL520,NV,8AM--11PM
FIELDS RIB HOUSE,BL914,VA,6AM--12PM
BULLSEYE BAR & GRILLE,BL614,MA,6AM--11PM
COPRA,BL638,WY,7AM--12PM
FULTON RESTAURANT,BL831,TN,7AM--11PM
FLETCHERS,BL972,WI,6AM--12PM
GOLDEN WEST CAFå  INC.,BL226,MO,7AM--11PM
DUNKIN DONUTS & BASKIN ROBBINS,BL948,MI,9AM--11PM
BEDROCK (KITCHEN AREA),BL836,IL,10AM--12PM
ATWATER'S,BL713,AL,6AM--12PM
DOWNTOWN SPORTS EXCHANGE,BL830,MO,9AM--12PM
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,BL189,CO,10AM--11PM
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,BL495,AK,8AM--12PM
DAVID'S RESTAURANT & DELI,BL937,OK,7AM--11PM
BALTIMORE COUNTRY CLUB,BL495,DE,9AM--11PM
FREDERICK STATION SALOON,BL842,MA,9AM--11PM
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,BL491,AR,9AM--11PM
BIG APPLE TREE CAFå,BL656,AL,7AM--11PM
Fleming's Prime Steakhouse and Wine Bar,BL763,MS,6AM--11PM
EL TROPICAL RESTAURANT (3736-38),BL231,WI,8AM--11PM
club charles zodiac     (1724-1726 n. charles st),BL151,AZ,7AM--11PM
ARAMARK FHC SPORTS  (MAIN KITCHEN),BL864,GA,8AM--12PM
ANNABEL LEE TAVERN,BL821,TN,10AM--12PM
BREWSTER'S TAVERN,BL436,WV,7AM--11PM
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,BL280,PA,7AM--11PM
5-MILE HOUSE,BL879,DC,8AM--11PM
DARKER THAN BLUE,BL384,FL,10AM--12PM
COTTON CLUB,BL719,MT,9AM--12PM
EAST BALTIMORE ENTERPRISE,BL158,MD,10AM--11PM
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,BL657,CO,7AM--12PM
CHARLES VILLAGE PUB,BL179,DE,10AM--11PM
CANTINA LAS AMERICAS/LA RUMBA,BL806,CA,7AM--11PM
CARLOS O'CHARLIES,BL377,WI,10AM--11PM
COOPER'S LIQUOR (568-570),BL797,AK,6AM--12PM
BLARNEY STONE PUB,BL324,AL,10AM--11PM
COMMON GROUND,BL745,AR,9AM--11PM
FIVE GUYS FAMOUS BURGERS & FRIES,BL005,HI,10AM--12PM
BALTIMORE DELIGHT RESTAURANT,BL841,CA,9AM--12PM
DASH SEAFOOD & CHICKEN,BL036,WV,7AM--11PM
CLUBHOUSE BAR,BL640,HI,7AM--11PM
asian taste,BL444,CT,6AM--12PM
COCO MOKA CAFå,BL655,RI,10AM--11PM
BALTIMORE DELIGHT RESTAURANT,BL576,null,9AM--11PM
BALTIMORE COUNTRY CLUB,BL668,NE,10AM--12PM
CHINESE KITCHEN,BL791,AL,8AM--12PM
CURB SHOPPE,BL736,TN,8AM--11PM
BOULDER GARDEN CAFE,BL813,NV,9AM--12PM
EL RECODO  INC.,BL117,LA,7AM--11PM
DANNY'S LOUNGE,BL850,MI,7AM--11PM
COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,BL338,WV,7AM--11PM
CHUNG MEE RESTAURANT,BL492,NC,7AM--12PM
FRANK'S PIZZA,BL585,FL,6AM--12PM
BLUE POINT CRAB HOUSE (seasonal),BL076,ND,7AM--11PM
CHRIS LIQUOR & GRILL,BL767,OR,7AM--11PM
babalu grill,BL278,CT,8AM--11PM
AMIGO'S BAR,BL486,MA,8AM--12PM
ESPN  ZONE,BL226,MD,10AM--11PM
EL OSASIS RESTAURANT & DISCOTEC,BL091,GA,8AM--12PM
CLUB CONFETTI,BL486,CA,7AM--11PM
AMBASSADOR DINNING ROOM,BL001,CO,9AM--12PM
19TH HOLE,BL166,TN,9AM--12PM
CLUB PHOENIX,BL324,ND,10AM--12PM
CHIAPPARELLI'S RESTAURANT,BL732,NE,8AM--11PM
DREAM TAVERN  CARRIBEAN  U.S.A.,BL868,CO,8AM--12PM
COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,BL675,NH,10AM--12PM
BELAIR PUB,BL184,MA,8AM--11PM
DARKER THAN BLUE,BL791,NV,7AM--11PM
BALTIMORE EAGLE  INC.,BL841,MD,6AM--12PM
GLADIATORS ASSOCIATIONS  INC,BL357,MT,10AM--12PM
AU BON PAIN,BL377,CO,7AM--11PM
BROOKLYN BOOSTER CLUB,BL948,AK,8AM--12PM
CAFå AZAFRAN,BL636,CO,7AM--12PM
COSMOS RESTAURANT-CARRYOUT (5427-29),BL486,IL,8AM--11PM
AG & HARP'S,BL947,CO,7AM--12PM
ARAMARK FHC SPORTS (BAR 252-253),BL158,MO,8AM--11PM
3 MILES HOUSE  INC.,BL683,ME,6AM--11PM
ATWATER'S,BL950,FL,7AM--11PM
AL-HO CLUB,BL361,AR,7AM--11PM
ARAMARK FHC SPORTS (BAR 232),BL229,IN,7AM--11PM
CHICKEN RICO,BL361,DE,9AM--12PM
DEAD FREDDIES,BL719,TN,8AM--12PM
BLARNEY STONE PUB,BL732,IA,8AM--11PM
CHUCK'S,BL913,CT,9AM--11PM
BAJA BEACH CLUB  (COMBINED WITH BAR-L),BL913,AR,7AM--11PM
crazy johns,BL183,IL,8AM--11PM
CHOW  MEIN CHARLIES  chinese food,BL364,AZ,8AM--11PM
BARTENDERS,BL715,RI,7AM--11PM
BROOKLYN PLEASURE CLUB,BL151,DC,8AM--12PM
BAY ATLANTIC CLUB,BL714,CT,7AM--11PM
DING HOW RESTAURANT,BL515,FL,10AM--12PM
ARAMARK FHC SPORTS  (MAIN KITCHEN),BL657,MA,7AM--11PM
CC LOUNGE,BL614,CT,9AM--11PM
COLD STONE CREAMERY# 102,BL980,CT,9AM--11PM
ACROPOLIS RESTAURANT,BL189,IA,10AM--12PM
BOB DELI,BL591,DE,9AM--12PM
COPRA,BL337,ND,6AM--11PM
CHIPOTLE MEXICAN GRILL,BL091,CO,10AM--12PM
fraternal order of police baltimore city lodge #3,BL834,GA,7AM--12PM
AIRPORT BAR & GRILL  INC.,BL770,KS,6AM--12PM
BALTIMORE PHO,BL293,AL,8AM--11PM
FOGO DE CHAO,BL827,NE,8AM--11PM
COLONIAL INN,BL504,CO,9AM--11PM
CAFå EXPRESS,BL127,HI,8AM--12PM
BERT'S EATS & DRINKS (3103-05),BL296,MO,7AM--11PM
BIG KAHUNA CANTINA,BL443,AL,7AM--12PM
BERTHA'S RESTAURANT,BL389,null,7AM--11PM
FREDERICK STATION SALOON,BL093,ME,7AM--12PM
CHARLES & MADISON  LLC,BL127,VA,7AM--11PM
CLUB 1722,BL158,UT,8AM--11PM
BEDROCK (KITCHEN AREA),BL868,GA,8AM--11PM
BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,BL914,RI,6AM--12PM
COCONUT CAFå,BL357,AL,8AM--11PM
COACH HOUSE INN,BL167,AZ,7AM--12PM
ABC SUSHI,BL174,NY,6AM--11PM
CREPE DU JOUR,BL179,TN,9AM--11PM
FISHERMANS WHARF INNER HARBOR,BL167,NE,6AM--12PM
DUKEM ETHIOPIAN RESTAURANT,BL852,OR,9AM--11PM
ENRICO'S SPORTS CAFE,BL036,CO,6AM--12PM
DAILY  GRIND  COFFEE  HOUSE,BL460,WV,7AM--12PM
BREEZE INC.,BL189,CT,10AM--11PM
FIVE GUYS @ BREWERS HILL,BL005,LA,7AM--11PM
BULLSEYE BAR & GRILLE,BL921,IN,9AM--11PM
DAYS INNS MANAGEMENT CO,BL057,MS,8AM--12PM
BELAIR PUB,BL714,DC,8AM--11PM
19TH HOLE,BL747,VA,10AM--12PM
DIMITRI'S TAVERN,BL220,AR,6AM--12PM
BOB'S OLDIE'S CAFå,BL001,MD,9AM--11PM
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,BL696,RI,9AM--12PM
FEDERAL HILL LOUNGE,BL772,MD,6AM--11PM
FANTASIES,BL001,CT,8AM--12PM
GLASS DOOR lounge,BL324,AR,6AM--12PM
CENTER STAGE,BL170,CO,9AM--11PM
BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV,BL877,OR,9AM--12PM
BYZANTIO CAFå,BL532,MN,6AM--11PM
CAFå SUSSIE'S,BL982,TN,8AM--12PM
EDISON   LOUNGE,BL338,FL,6AM--11PM
BALTIMORE COUNTRY CLUB,BL060,MA,8AM--11PM
CHIYO SUSHI,BL841,NY,7AM--12PM
GOOD TIMES BAR AND LOUNGE,BL117,IA,10AM--12PM
DOWN THE HATCH,BL743,TN,9AM--12PM
ATWATER'S,BL868,IA,8AM--12PM
B & J RESTAURANT,BL555,FL,8AM--12PM
BACKSTRETCH SALOON,BL009,LA,7AM--11PM
B,BL489,AL,8AM--11PM
BELVEDERE TOWERS CAFå,BL658,HI,10AM--11PM
BUTTS & BETTY'S TAVERN  INC.,BL382,ME,10AM--12PM
ALLEN RESTAURANT,BL436,AK,7AM--11PM
CIRCUS BAR & RESTAURANT,BL614,NC,8AM--11PM
ARAMARK FHC SPORTS (BAR 221),BL151,IL,9AM--12PM
DAVEY JONES LOCKER,BL436,SC,7AM--12PM
CARLOS O'CHARLIES,BL011,WY,8AM--11PM
BERTHA'S RESTAURANT,BL479,NE,10AM--12PM
A & W RESTAURANT,BL951,AZ,8AM--11PM
ENRICO'S SPORTS CAFE,BL941,NC,6AM--12PM
ARCOS,BL359,OK,9AM--11PM
BLEACHERS,BL948,DE,6AM--12PM
ARIZONA BAR & GRILL,BL971,UT,8AM--11PM
DESERT INN,BL158,WV,6AM--11PM
DIMIS CAFå AND GRILL  INC.,BL298,ME,10AM--11PM
COCO MOKA CAFå,BL296,FL,8AM--12PM
CARLYLE CLUB,BL765,TN,10AM--12PM
CARLYLE CLUB,BL215,CT,8AM--11PM
BROADWAY DINER,BL228,SD,8AM--12PM
CLUB CHOICES,BL664,ND,10AM--11PM
FOODTOPIA,BL725,DE,9AM--12PM
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,BL395,MS,9AM--11PM
GALLAGHERS BAR & GRILL    (938-940),BL577,LA,10AM--12PM
DIONYSUS RESTAURANT & LOUNGE,BL657,WV,6AM--11PM
FLAMINGO  LOUNGE,BL485,CA,9AM--12PM
BOB'S BAR,BL183,OK,7AM--12PM
A TASTE OF CHINA,BL553,GA,7AM--12PM
BANTHAI,BL179,ME,8AM--11PM
BURKE'S CAFå/ COMEDY FACTORY,BL461,HI,10AM--11PM
babalu grill,BL127,FL,10AM--11PM
BLACKTIE SERVICE  LLP,BL668,WV,7AM--11PM
CLUB BUNNS (606-08),BL744,RI,6AM--11PM
BILL'S CAFE,BL034,OK,7AM--11PM
CHARLOTTE'S,BL011,WV,6AM--12PM
CHEF PAOLINO,BL334,OK,10AM--11PM
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,BL545,MD,8AM--11PM
EDIE'S DELI & GRILL,BL532,NY,9AM--11PM
E C CAFå & CATERING,BL164,VT,10AM--11PM
G & A RESTAURANT,BL907,NE,7AM--11PM
AU BON PAIN,BL395,OR,9AM--12PM
DEAD END SALOON,BL293,WV,8AM--11PM
ALOHA TOKYO,BL638,MO,9AM--11PM
AUSTIN GRILL,BL951,NC,7AM--12PM
CARL'S LITTLE HOUSE,BL851,NH,9AM--11PM
GARDEN BEEF & BEER,BL765,NC,10AM--12PM
DIZZY  IZZY,BL914,CO,8AM--12PM
COLLINS CORNER,BL102,CO,8AM--11PM
COLD STONE CREAMERY# 102,BL636,LA,9AM--12PM
DOMINO SUGAR CAFATERIA OPERATION # 65227,BL306,FL,7AM--12PM
300 SOUTH ANN STREET,BL184,NE,8AM--11PM
DEGO DAME'S,BL579,SC,8AM--12PM
BLU BAMBU-FRESH AISIAN EATS,BL324,VT,6AM--12PM
BALTMORE KICKERS,BL280,WY,10AM--12PM
BILTMORE SUITES HOTEL,BL728,MT,7AM--11PM
D J'S GASLIGHT,BL876,NE,6AM--11PM
BELVEDERE TOWERS CAFå,BL660,UT,8AM--12PM
AL-HO CLUB,BL105,HI,7AM--12PM
CARL REFEERS BAR & GRILL,BL102,WV,7AM--11PM
EL RANCHO GRANDE,BL307,MO,10AM--12PM
CHESAPEAKE WINE COMPANY,BL713,TN,8AM--12PM
CLUB MITCHELL,BL288,PA,7AM--11PM
BIRCHES RESTAURANT,BL406,KS,7AM--12PM
ATWATER'S,BL658,DE,7AM--12PM
CAFå GOURMET,BL652,DC,9AM--12PM
BECKER'S TAVERN,BL328,IA,8AM--11PM
BILTMORE SUITES HOTEL,BL579,AZ,7AM--11PM
