barName,phoneNumber,barLicense,bartenderID,State of Residence,
Low Point — How I Met Your Mother,(457) 701-7964,LgMkLnhFuAet,3929419776,CT,
Shooters — Melrose Place,(562) 507-7384,GGUvjYZmxSTgxhCa,6634894511,LA,
 by Kingsley Amis [3],(825) 805-7288,yvsxNzBUG,8000166999,NC,
SU Bar — Hollyoaks,(769) 400-2541,KprmPIOxea,3144987159,HI,
The Feed Bag — The Elder Scrolls IV: Oblivion,(825) 805-7288,siiWmYqPTHuJwxoP,2394083620,AL,
 by Raymond Chandler,(259) 385-7742,aUUUnZbWGQXgqa,8053994105,CT,
B[edit],(722) 370-6001,KprmPIOxea,8446978613,NH,
 1892) — Doctor Who,(460) 330-2674,SwUwIrksArHxRbOtsNv,8406508476,AK,
Dead Man's Drink — The Elder Scrolls V: Skyrim,(969) 543-6991,DkgnmDV,7717436352,VA,
 episode "Challenge Accepted",(519) 256-1779,vIXwFY,0990814157,WY,
Cocktails and Dreams — Cocktail (1988),(426) 765-3084,dyYqHYWn,5478167890,DE,
Poison — Arrow,(536) 610-7655,WXPCsQIopsQIHw,0741747237,HI,
The Jockey — Shameless,(723) 313-3201,EIQnqBUjwIxS,0733196694,ME,
The Flying Horse — Coronation Street's other pub,(924) 289-8402,yvsxNzBUG,5297835672,CA,
The Leaky Cauldron — a public house in the Harry Potter series and the entryway into Diagon Alley in London,(232) 338-3323,SGoCjsapEP,8505976618,AZ,
 episode "Day One",(355) 737-3285,iBaKq,0851236764,SD,
The Intersection — How I Met Your Mother,(259) 385-7742,XAhHVTjjTQFJcMG,4410784671,WV,
 HP7 0DJ,(662) 829-2701,qMkSBWbxC,2192081594,NY,
The Wicked Kiss — Alexa O'Brien series,(321) 556-9661,KEenSyCXfojlJTr,9588176150,MI,
The Smack — Rapscallion by James McGee,(704) 229-7495,mIJDLo,5749344266,AR,
Kadie's Club Pecos — Sin City,(539) 216-4373,FSbCFtpGLeu,6907197145,ND,
Seagrass — Arrow,(662) 829-2701,iBaKq,8891761889,ME,
The Drunken Dragon Inn — The Elder Scrolls IV: Oblivion,(376) 359-2019,JbEMvY,8876943349,MN,
Charlie's — Harvey (1950),(826) 806-8072,iBaKq,7101263640,DC,
 episode "Mixology Certification",(444) 648-9036,GuAMjsGVN,6336688360,IL,
Salieri's Bar — Mafia: The City of Lost Heaven,(380) 686-6955,ZlTKonSjwG,6556998929,MO,
The Nag's Head — Only Fools and Horses,(711) 586-4308,DAhmibabDnJwATEbr,5887694628,WV,
Kavanagh's Irish Pub — The Wire,(603) 274-9446,vVjjt,9928085095,KS,
 by J. Meade Faulkner,(232) 338-3323,ImEcCSwpNBBjLuxzkQ,7525323332,MA,
 episode "Legacies",(264) 539-9136,tUXtZFqgoabz,6319933367,NV,
The Kit Kat Klub — Cabaret,(250) 665-7321,SGoCjsapEP,3838998455,ND,
 by Charles Dickens,(724) 868-8104,bjFBxlEu,5698823242,NV,
The Winchester Tavern — Shaun of the Dead (2004),(576) 833-3441,EIQnqBUjwIxS,0020550326,IL,
Archie Bunker's Place — Archie Bunker's Place,(817) 225-3731,cUngxdbxvBlCMrdn,2116670805,IL,
The Red Boot Pub — Grounded for Life,(843) 876-7257,qMkSBWbxC,2708743108,KS,
The Brick — Northern Exposure,(826) 806-8072,tUXtZFqgoabz,0343663134,NC,
The Goat and Compasses — Dad's Army,(231) 773-3676,SwUwIrksArHxRbOtsNv,4051445396,TN,
Mr. Pubbs — Cheers,(967) 682-9571,vVjjt,2801779976,MI,
The Mucky Duck — Man About The House,(560) 778-2982,MVJELwFUqogMx,6081821930,NE,
 episode "How Your Mother Met Me",(707) 438-9674,KWTdwvIgBmWrY,3946974112,CA,
The Winchester Tavern — Shaun of the Dead (2004),(455) 269-3147,aUUUnZbWGQXgqa,5369293621,MO,
Munden's Bar — Grimjack (comic),(818) 332-1000,OdROrFvLjhfn,7788651591,AL,
Bellefleur's Bar and Grill — True Blood (2008),(788) 308-2578,tjqMIvvNtxlPYAPEsB,5290838601,NC,
 aka "Chalmun's Cantina" — the bar in Star Wars Episode IV: A New Hope,(724) 868-8104,VLoofM,4242645556,ME,
The Leaky Cauldron — a public house in the Harry Potter series and the entryway into Diagon Alley in London,(573) 231-2744,KPFgmVWDzrQOv,6734325667,HI,
McGinty's — Early Edition (1996),(448) 698-2982,EIQnqBUjwIxS,6593841118,NH,
The Feathers — Dad's Army,(460) 660-9681,eeKcKFZpMOQTNty,6389293045,WV,
 episode "Remains of the Day",(528) 438-3310,LgMkLnhFuAet,1940294463,AZ,
The Six Jolly Fellowship Porters — Our Mutual Friend,(455) 269-3147,mUkZaCztpHVIXTV,0080533460,GA,
The Mohune Arms — Moonfleet,(528) 438-3310,GtAhsVIaRzrFpRdFyKu,0830882713,LA,
Shooters — Melrose Place,(528) 438-3310,siiWmYqPTHuJwxoP,4334101608,TN,
 by Raymond Chandler,(472) 299-8437,NdjjugTHnGG,4464213431,KS,
Club Obi Wan — Indiana Jones and the Temple of Doom (1984),(380) 686-6955,eeKcKFZpMOQTNty,5770656900,OK,
The Thorax Bar (Society) — Gamer (2009),(448) 698-2982,MRnQNysKkV,4935968306,AL,
 90210 (1990),(436) 324-8013,bNQVwc,5059613241,MN,
Weatherfield Arms (known as the "Weathy Arms") — Coronation Street,(436) 324-8013,cJjtLirPRbzKXQTWfxc,0665377731,MD,
Vardi's — The Big Sleep,(231) 773-3676,FTVpRPv,5294631283,CT,
The Drunken Huntsman — The Elder Scrolls V: Skyrim,(460) 660-9681,isIlxQggMbzmyWDeS,7828163793,NC,
The Whippet Inn — Carry On at Your Convenience,(818) 332-1000,QsDhvI,5152550310,MA,
The Goat and Compasses — Dad's Army,(250) 665-7321,GEtCTQBuBxHjLGQ,4248450791,HI,
The Dog and Dart — Mount Pleasant,(204) 853-6634,PdosmDgiHf,1229542823,DE,
 East Cheam — Hancock's Half Hour,(231) 773-3676,DkgnmDV,9202048777,RI,
The Prancing Pony — The Lord of the Rings,(335) 720-9904,cMYudMPX,8430038446,ME,
The Leaky Cauldron — a public house in the Harry Potter series and the entryway into Diagon Alley in London,(818) 332-1000,ElstokWwsfuj,5923467445,AL,
Alibi Bar — Nick Knatterton,(457) 701-7964,ZlTKonSjwG,7881013442,NY,
The Whippet Inn — Carry On at Your Convenience,(576) 833-3441,GepHphxGkVGmYJ,5149458677,MO,
The Aigburth Arms — Red Dwarf,(622) 286-1124,ahAzaOlgzskYHm,1514610896,NE,
The Pilgrim's Rest — The Elder Scrolls III: Morrowind,(301) 623-6286,rwmsoZ,4978044173,ME,
The Leaky Cauldron — a public house in the Harry Potter series and the entryway into Diagon Alley in London,(902) 940-6870,WjpUBVYFy,7679173749,MI,
The Rose & Crown (London,(219) 941-6646,MVJELwFUqogMx,0556071226,AL,
Salty Sailor Tavern — World of Warcraft,(976) 658-8811,tjqMIvvNtxlPYAPEsB,8350159439,WV,
China Coast — Alias Nick Beal,(440) 321-3100,GEtCTQBuBxHjLGQ,1779053837,OK,
Copacabana — Goodfellas,(573) 231-2744,cMYudMPX,7429517286,DE,
The Railway Arms — Life on Mars,(828) 959-1289,hGaNlarkleHyZdogWymi,6671216398,MS,
The Bang Bang Bar — Twin Peaks (1990),(972) 769-2769,WjpUBVYFy,2560575732,CT,
Fitzgerald's — Ballykissangel,(874) 648-1708,YTXhp,2116670805,IL,
The Bronze — Buffy the Vampire Slayer (1997),(528) 438-3310,OdROrFvLjhfn,5916182221,WV,
Korova Milk Bar — A Clockwork Orange,(818) 332-1000,KEenSyCXfojlJTr,5132540585,MO,
McGinty's — Early Edition (1996),(643) 327-3798,XAhHVTjjTQFJcMG,5047839012,DE,
Thunderbrew Distillery — World of Warcraft,(756) 914-1573,ntwWEKmcbPeGGV,0868535729,TN,
The Bannered Mare — The Elder Scrolls V: Skyrim,(843) 876-7257,yvsxNzBUG,5291004199,CO,
 episode "The Shakespeare Code",(376) 359-2019,FUnaI,1754681590,TN,
Gateway Inn — The Elder Scrolls III: Morrowind,(219) 941-6646,FSbCFtpGLeu,1259506519,MD,
 episode "Mixology Certification",(955) 646-4001,dyYqHYWn,2136211520,DC,
Starlight Roof,(341) 264-1421,cEqJG,6821257441,MA,
Poison — Arrow,(689) 942-6305,yvsxNzBUG,5522913924,WV,
The Flying Horse — Coronation Street's other pub,(287) 479-2490,GEtCTQBuBxHjLGQ,0712483941,TN,
Broken Keel Tavern — World of Warcraft,(341) 264-1421,JbEMvY,9758742783,KS,
The Dog and Gun — Coronation Street,(874) 648-1708,lQEfrLg,7969975768,MO,
The Butchers Arms — Last of the Summer Wine,(426) 765-3084,tUXtZFqgoabz,1779053837,MT,
Copacabana — Goodfellas,(573) 231-2744,rFEMAicf,0758065498,NE,
 1946 essay by George Orwell,(955) 646-4001,cUngxdbxvBlCMrdn,4474299231,SD,
The Black Lion — Dad's Army,(444) 648-9036,GtAhsVIaRzrFpRdFyKu,6907197145,GA,
Playaz Club — 1994 song of the same title by Rappin' 4-Tay,(560) 778-2982,cUngxdbxvBlCMrdn,1084253169,AR,
Puzzles — How I Met Your Mother,(264) 539-9136,LgMkLnhFuAet,9581820230,MI,
Copacabana — Goodfellas,(825) 805-7288,zBVBeAKZJ,1638920847,RI,
Steinway Beer Garden — Grand Theft Auto IV,(641) 932-8291,ahAzaOlgzskYHm,2962978940,HI,
Welsh's Bar — The Deer Hunter (1978),(204) 853-6634,sgtypZkWoNINUlZd,7644146867,GA,
Low Point — How I Met Your Mother,(335) 720-9904,qMkSBWbxC,6573075726,NY,
The Rose & Thorn — The Riyria Chronicles,(219) 941-6646,cyBAsWWMXXvUDdt,3178182861,MN,
Snakehole Lounge — Parks and Recreation,(380) 686-6955,mUkZaCztpHVIXTV,5330856243,SD,
The Broken Drum/The Mended Drum — Ankh-Morpork in Terry Pratchett's Discworld,(560) 778-2982,FTVpRPv,9432288179,WV,
Black Horse — Whatever Happened to the Likely Lads?,(625) 465-1732,FSbCFtpGLeu,1640403494,ME,
 BBC radio series,(264) 539-9136,cMYudMPX,5432426638,DC,
 episode "Sunrise",(436) 324-8013,GtAhsVIaRzrFpRdFyKu,4224661961,WY,
The Ragged Flagon — The Elder Scrolls V: Skyrim (a den of thieves),(355) 737-3285,pdnra,4020957232,AR,
 episode "Charade",(662) 829-2701,WcwMNdMaoqOMTFnkd,2756397125,OK,
The Slaughtered Prince — Stardust (2007),(723) 313-3201,afDxrRGvwtyXePEgXeQ,0794545217,CT,
 2011 novel by David Foster Wallace,(975) 933-3468,qMkSBWbxC,0014165442,FL,
The Monkey Bar — Tales of the Gold Monkey,(724) 868-8104,aEFWCD,5029998347,ME,
Flanagan's Cocktails & Dreams — Cocktail,(622) 351-6088,GEtCTQBuBxHjLGQ,9484551319,ME,
 episode "Lone Gunmen",(264) 539-9136,diOKL,6715446378,MO,
Sandbox — How I Met Your Mother,(769) 400-2541,WcwMNdMaoqOMTFnkd,7614939036,CT,
The Old Haunt — Castle,(460) 330-2674,cEqJG,9930016471,CT,
 Being Human novels[1],(582) 640-5360,qzSQTQImakUPY,9744171933,OR,
 episode "The Snowmen",(232) 338-3323,FCRyIZ,3609943921,RI,
Gaston's — Beauty and the Beast (1991),(528) 438-3310,OdROrFvLjhfn,3593979935,KS,
Lusty Leopard — How I Met Your Mother,(826) 806-8072,SwUwIrksArHxRbOtsNv,3671561095,MO,
 Being Human novels[1],(331) 891-7914,RLukQlrxksjRjaYQjoZz,2086764523,AL,
The Moonrakers — Hobson's Choice,(979) 514-5679,KprmPIOxea,9174936081,HI,
Club Obi Wan — Indiana Jones and the Temple of Doom (1984),(643) 327-3798,LOqpHQoEJt,5435785539,LA,
China Coast — Alias Nick Beal,(818) 332-1000,mQKBM,0080205352,CA,
 episode "Gary Blauman",(967) 682-9571,DAhmibabDnJwATEbr,3951531607,MS,
The Last Chance Saloon — The Rifleman,(426) 765-3084,FCRyIZ,1286802520,CO,
The Shakespeare — Being Human,(528) 438-3310,zBVBeAKZJ,2700998104,DE,
E[edit],(955) 646-4001,SRuKBSBp,1793338015,FL,
SaxonwoldShebeen — Saxonwold,(547) 521-6601,iBaKq,5813562690,CO,
Crab Shack (formerly Ernie's Crab Shack) — My Name is Earl (2005),(967) 682-9571,FSbCFtpGLeu,5420105271,IL,
 Part 1 and Henry IV,(689) 942-6305,iBaKq,8558183829,AR,
Puzzles — How I Met Your Mother,(955) 646-4001,kJcaAxPMYjvHQnDIIe,2941976936,KS,
Titty Twister — From Dusk Till Dawn (1996),(350) 809-3855,aHViKlBpV,0301589794,AZ,
Fitzgerald's — Ballykissangel,(472) 299-8437,bjFBxlEu,7784303552,CO,
The Winchester Club — Minder,(825) 805-7288,MRnQNysKkV,0301589794,MO,
The Silver Dollar Saloon — Bonanza,(826) 806-8072,cUngxdbxvBlCMrdn,5924522008,NE,
Maxwell's Nightclub (Metropolis) — Smallville,(662) 829-2701,WXPCsQIopsQIHw,8522558422,WI,
The Drunken Huntsman — The Elder Scrolls V: Skyrim,(576) 833-3441,VxpLUTXUXt,7053912887,RI,
Milliway's — Restaurant at the End of the Universe,(707) 438-9674,KPFgmVWDzrQOv,9724398631,WY,
Dal Riata — Lost Girl,(603) 274-9446,VLoofM,2941976936,MA,
Club Sugar Ray — Harlem Nights (1989),(426) 765-3084,sgtypZkWoNINUlZd,4219905182,SD,
The Domain of the King Bar and Grille — Mostly Harmless,(380) 686-6955,eeKcKFZpMOQTNty,9920364657,MO,
 a short 1958 sci-fi novel by Fritz Leiber,(967) 682-9571,GEtCTQBuBxHjLGQ,2370221807,NY,
