barLicense,Item ID,Item Price at Bar,Inventory of Item
BL661,IT8003,9.0,796.0
BL176,IT2577,7.0,519.0
BL695,IT0623,10.0,938.0
BL141,IT6001,6.0,920.0
BL719,IT1370,6.0,803.0
BL484,IT7676,6.0,515.0
BL591,IT4325,7.0,772.0
BL127,IT6736,9.0,792.0
BL976,IT2940,6.0,534.0
BL058,IT2778,7.0,506.0
BL127,IT8286,5.0,858.0
BL117,IT7436,6.0,844.0
BL576,IT7252,7.0,756.0
BL808,IT2577,9.0,868.0
BL808,IT2317,7.0,764.0
BL877,IT2251,11.0,818.0
BL508,IT8286,6.0,953.0
BL928,IT7097,8.0,851.0
BL999,IT6135,8.0,890.0
BL034,IT7672,5.0,597.0
BL141,IT7911,11.0,511.0
BL806,IT9294,7.0,972.0
BL851,IT1198,9.0,627.0
BL698,IT9440,7.0,533.0
BL922,IT5561,8.0,805.0
BL076,IT9938,10.0,730.0
BL972,IT1156,11.0,808.0
BL576,IT0005,8.0,770.0
BL564,IT5491,6.0,797.0
BL374,IT2634,9.0,660.0
BL211,IT4855,9.0,561.0
BL842,IT8893,6.0,773.0
BL860,IT7090,9.0,660.0
BL634,IT5863,6.0,989.0
BL231,IT7551,10.0,834.0
BL713,IT3465,8.0,969.0
BL590,IT8065,9.0,888.0
BL937,IT2145,7.0,956.0
BL338,IT7003,10.0,560.0
BL162,IT9469,7.0,776.0
BL102,IT8442,6.0,783.0
BL830,IT4618,7.0,559.0
BL361,IT8073,11.0,855.0
BL097,IT5522,11.0,569.0
BL937,IT7737,11.0,965.0
BL117,IT3346,8.0,919.0
BL034,IT5090,9.0,581.0
BL732,IT0427,10.0,989.0
BL512,IT4607,11.0,893.0
BL337,IT1317,7.0,890.0
BL060,IT6001,7.0,800.0
BL361,IT4499,8.0,893.0
BL231,IT5356,7.0,979.0
BL577,IT3007,8.0,923.0
BL923,IT3965,8.0,528.0
BL665,IT0838,7.0,591.0
BL302,IT4429,10.0,701.0
BL732,IT4777,7.0,516.0
BL545,IT2064,9.0,512.0
BL877,IT9282,8.0,804.0
BL012,IT2760,11.0,554.0
BL143,IT1074,6.0,929.0
BL576,IT1108,10.0,672.0
BL534,IT6757,6.0,653.0
BL359,IT1859,8.0,885.0
BL636,IT5491,9.0,509.0
BL810,IT2940,8.0,556.0
BL728,IT2837,8.0,668.0
BL032,IT8003,10.0,979.0
null,IT6965,6.0,547.0
BL416,IT9042,10.0,917.0
BL813,IT5334,6.0,978.0
BL164,IT6068,9.0,846.0
BL011,IT7768,9.0,805.0
BL941,IT1769,7.0,989.0
BL894,IT2591,5.0,652.0
BL947,IT7715,6.0,976.0
BL719,IT4370,10.0,853.0
BL698,IT1511,7.0,638.0
BL032,IT0132,7.0,828.0
BL179,IT6340,8.0,825.0
BL948,IT4230,8.0,923.0
BL481,IT1521,7.0,834.0
BL576,IT0136,6.0,629.0
BL259,IT5221,6.0,889.0
BL515,IT2266,9.0,776.0
BL057,IT1511,6.0,509.0
BL757,IT0768,8.0,827.0
BL675,IT3668,9.0,834.0
BL038,IT0677,5.0,800.0
BL259,IT6599,6.0,618.0
BL981,IT9749,11.0,753.0
BL421,IT6156,10.0,851.0
BL024,IT1968,8.0,898.0
BL361,IT6742,6.0,758.0
BL752,IT7879,10.0,700.0
BL331,IT7252,8.0,813.0
BL460,IT5356,8.0,620.0
BL856,IT7879,6.0,831.0
BL725,IT1075,6.0,960.0
BL024,IT5700,8.0,716.0
BL127,IT3183,7.0,825.0
BL999,IT0405,9.0,964.0
BL837,IT9099,5.0,753.0
BL005,IT1799,6.0,528.0
BL406,IT3378,9.0,639.0
BL904,IT6396,9.0,806.0
BL231,IT4464,6.0,764.0
BL876,IT0243,7.0,805.0
BL183,IT5819,11.0,735.0
BL355,IT5090,6.0,967.0
BL992,IT2488,10.0,596.0
BL841,IT0375,8.0,921.0
BL438,IT3327,6.0,774.0
BL478,IT3973,8.0,576.0
BL831,IT8976,10.0,795.0
BL907,IT6921,7.0,552.0
BL972,IT3947,8.0,552.0
BL322,IT0696,11.0,539.0
BL616,IT9099,6.0,923.0
BL420,IT1521,8.0,502.0
BL076,IT7619,9.0,965.0
BL340,IT1074,7.0,779.0
BL914,IT2554,7.0,712.0
BL706,IT7069,6.0,561.0
BL800,IT1909,7.0,937.0
BL296,IT7857,10.0,844.0
BL610,IT3283,10.0,634.0
BL559,IT8286,7.0,993.0
BL851,IT7877,6.0,729.0
BL904,IT6822,6.0,709.0
BL924,IT7193,7.0,753.0
BL109,IT4963,6.0,580.0
BL104,IT4258,8.0,784.0
BL954,IT7265,9.0,533.0
BL797,IT5944,9.0,889.0
BL922,IT0352,8.0,510.0
BL047,IT1224,10.0,946.0
BL322,IT0235,6.0,785.0
BL899,IT2226,7.0,817.0
BL946,IT1325,5.0,674.0
BL038,IT4086,11.0,989.0
BL923,IT8063,7.0,911.0
BL913,IT0131,11.0,747.0
BL719,IT6622,6.0,557.0
BL443,IT5089,7.0,878.0
BL370,IT8308,9.0,854.0
BL332,IT0309,5.0,772.0
BL534,IT0476,6.0,602.0
BL767,IT3164,6.0,618.0
BL591,IT2920,9.0,993.0
BL307,IT6385,8.0,810.0
BL332,IT1763,7.0,885.0
BL395,IT3331,8.0,855.0
BL022,IT7619,7.0,668.0
BL004,IT7672,9.0,800.0
BL722,IT1662,7.0,561.0
BL484,IT4370,8.0,770.0
BL407,IT7828,10.0,810.0
BL558,IT1154,10.0,758.0
BL389,IT0492,8.0,544.0
BL226,IT8738,8.0,853.0
BL011,IT2251,5.0,923.0
BL538,IT7319,5.0,946.0
BL162,IT6930,9.0,550.0
BL770,IT2251,7.0,998.0
BL090,IT5570,8.0,595.0
BL136,IT6162,10.0,617.0
BL797,IT8944,11.0,900.0
BL057,IT7814,11.0,982.0
BL579,IT7624,8.0,535.0
BL184,IT6680,11.0,937.0
BL619,IT7619,8.0,863.0
BL145,IT2885,7.0,729.0
BL031,IT8360,10.0,600.0
BL461,IT1593,7.0,596.0
BL841,IT7440,6.0,594.0
BL484,IT5600,8.0,714.0
BL141,IT2534,9.0,534.0
BL937,IT8233,9.0,621.0
BL588,IT0125,10.0,539.0
BL060,IT2311,8.0,753.0
BL709,IT4256,11.0,561.0
BL664,IT2391,6.0,759.0
BL495,IT7599,9.0,868.0
BL085,IT6093,6.0,960.0
BL763,IT5291,11.0,597.0
BL534,IT7551,7.0,866.0
BL179,IT0288,11.0,934.0
BL842,IT8386,9.0,835.0
BL296,IT0836,9.0,541.0
BL657,IT8543,7.0,592.0
BL227,IT8767,6.0,979.0
BL676,IT9485,8.0,597.0
BL576,IT5532,8.0,515.0
BL125,IT0797,7.0,913.0
BL143,IT4509,8.0,883.0
BL948,IT3346,11.0,509.0
BL862,IT3086,7.0,849.0
BL962,IT6757,6.0,923.0
BL696,IT0995,9.0,920.0
BL532,IT7039,8.0,999.0
BL122,IT6280,6.0,527.0
BL933,IT7230,7.0,636.0
BL655,IT7440,9.0,893.0
BL013,IT2405,8.0,967.0
BL114,IT1812,11.0,758.0
BL371,IT7630,9.0,995.0
BL837,IT3481,8.0,513.0
BL899,IT5958,8.0,855.0
BL086,IT4429,8.0,727.0
BL426,IT9291,6.0,950.0
BL134,IT0171,7.0,680.0
BL831,IT7893,8.0,753.0
BL328,IT4256,10.0,599.0
BL878,IT6750,6.0,554.0
BL118,IT5570,8.0,634.0
BL821,IT9387,5.0,749.0
BL220,IT6880,9.0,952.0
BL151,IT0797,6.0,895.0
BL022,IT3206,6.0,797.0
BL433,IT1335,7.0,619.0
BL810,IT8322,9.0,978.0
BL461,IT7441,6.0,756.0
BL086,IT9371,8.0,547.0
BL461,IT4370,11.0,923.0
BL316,IT8952,8.0,994.0
BL322,IT3912,6.0,606.0
BL259,IT3947,7.0,772.0
BL813,IT4726,6.0,530.0
BL316,IT9318,9.0,839.0
BL709,IT0917,8.0,557.0
BL420,IT2983,9.0,668.0
BL288,IT5553,11.0,926.0
BL384,IT1994,6.0,774.0
BL475,IT6622,7.0,556.0
BL484,IT0078,7.0,562.0
BL695,IT1750,7.0,818.0
BL872,IT6367,10.0,660.0
BL590,IT8190,6.0,529.0
BL170,IT8585,6.0,941.0
BL982,IT1521,5.0,979.0
BL797,IT0352,7.0,512.0
BL506,IT1033,9.0,857.0
BL821,IT3440,6.0,772.0
BL278,IT7076,5.0,889.0
BL709,IT4704,9.0,719.0
BL453,IT9806,7.0,566.0
BL355,IT4598,8.0,701.0
BL460,IT2577,9.0,989.0
BL719,IT0540,7.0,861.0
BL930,IT4325,7.0,561.0
BL478,IT6340,10.0,650.0
BL001,IT8834,5.0,597.0
BL662,IT5841,11.0,706.0
BL486,IT4169,10.0,720.0
BL183,IT1390,7.0,870.0
BL402,IT9150,6.0,875.0
BL722,IT5611,7.0,712.0
BL461,IT5742,8.0,506.0
BL728,IT2969,9.0,923.0
BL591,IT7768,6.0,727.0
BL583,IT8065,9.0,774.0
BL036,IT0931,11.0,551.0
BL583,IT5870,9.0,723.0
BL713,IT0005,6.0,914.0
BL009,IT0022,6.0,712.0
BL461,IT1966,9.0,649.0
BL848,IT4169,8.0,745.0
BL924,IT7044,8.0,923.0
BL420,IT3917,10.0,537.0
BL767,IT3696,6.0,792.0
BL328,IT8069,6.0,996.0
BL043,IT4517,10.0,753.0
BL013,IT2226,8.0,923.0
BL728,IT4777,7.0,998.0
BL801,IT7619,7.0,938.0
BL664,IT2451,8.0,600.0
BL104,IT6348,9.0,903.0
BL736,IT7419,6.0,951.0
BL515,IT5600,6.0,551.0
BL695,IT7044,7.0,800.0
BL005,IT8482,9.0,642.0
BL714,IT7893,8.0,708.0
BL444,IT6602,9.0,868.0
BL492,IT9223,6.0,527.0
BL141,IT5870,7.0,620.0
BL090,IT1156,8.0,512.0
BL337,IT4386,9.0,539.0
BL501,IT7608,10.0,660.0
BL174,IT5705,9.0,591.0
BL584,IT0022,6.0,803.0
BL461,IT1521,6.0,853.0
BL480,IT0375,9.0,731.0
BL655,IT5379,7.0,758.0
BL478,IT4879,5.0,717.0
BL032,IT8182,6.0,972.0
BL481,IT6134,9.0,593.0
BL322,IT4712,10.0,894.0
BL189,IT7672,10.0,733.0
BL136,IT6876,8.0,758.0
BL380,IT4499,9.0,595.0
BL683,IT1939,9.0,515.0
BL937,IT8883,10.0,646.0
BL471,IT4742,7.0,844.0
BL072,IT4552,7.0,809.0
BL009,IT4325,6.0,668.0
BL999,IT3227,5.0,668.0
BL461,IT9444,10.0,965.0
BL837,IT6680,6.0,708.0
BL758,IT4645,10.0,989.0
BL278,IT6602,7.0,729.0
BL468,IT6001,8.0,695.0
BL783,IT9240,6.0,668.0
BL752,IT7406,9.0,965.0
BL460,IT2577,6.0,822.0
BL732,IT0528,7.0,646.0
BL026,IT3119,7.0,780.0
BL963,IT0491,6.0,653.0
BL689,IT0132,7.0,863.0
BL364,IT1521,9.0,707.0
BL878,IT4278,6.0,581.0
BL767,IT6748,9.0,787.0
BL923,IT8815,9.0,780.0
BL058,IT4496,5.0,989.0
BL860,IT1662,9.0,600.0
BL512,IT8065,7.0,700.0
BL716,IT3305,8.0,886.0
BL571,IT6037,9.0,965.0
BL948,IT9806,11.0,964.0
BL579,IT6613,8.0,511.0
BL359,IT1750,10.0,792.0
BL659,IT7972,11.0,529.0
BL924,IT4325,11.0,509.0
BL538,IT7609,8.0,596.0
BL468,IT8523,9.0,606.0
BL278,IT0623,11.0,842.0
BL639,IT4429,8.0,756.0
BL954,IT7897,6.0,695.0
BL515,IT7202,8.0,921.0
BL377,IT9181,7.0,642.0
BL636,IT4108,10.0,556.0
BL530,IT6577,5.0,795.0
BL536,IT6642,9.0,772.0
BL898,IT3818,11.0,835.0
BL719,IT3119,11.0,516.0
BL877,IT1928,9.0,822.0
BL480,IT3853,6.0,925.0
BL656,IT0677,10.0,819.0
BL981,IT7077,11.0,851.0
BL092,IT9371,8.0,600.0
BL758,IT7633,8.0,787.0
BL963,IT3226,11.0,928.0
BL744,IT4862,5.0,723.0
BL495,IT7972,9.0,847.0
BL296,IT8260,5.0,804.0
BL457,IT9294,6.0,666.0
BL407,IT8442,8.0,935.0
BL259,IT1471,9.0,600.0
BL545,IT1154,6.0,813.0
BL877,IT0640,5.0,774.0
BL499,IT6156,11.0,828.0
BL622,IT0995,9.0,946.0
BL864,IT6123,6.0,504.0
BL443,IT1149,9.0,818.0
BL924,IT8738,6.0,561.0
BL941,IT6599,11.0,554.0
BL189,IT6078,10.0,567.0
BL954,IT8342,6.0,888.0
BL134,IT6294,10.0,528.0
BL948,IT6961,5.0,795.0
BL999,IT7193,8.0,986.0
BL136,IT9814,9.0,551.0
BL972,IT3069,8.0,741.0
BL772,IT7737,9.0,808.0
BL949,IT5619,8.0,822.0
BL296,IT7419,6.0,584.0
BL877,IT3101,6.0,509.0
BL118,IT8631,10.0,707.0
BL127,IT2103,8.0,785.0
BL848,IT9613,6.0,620.0
BL675,IT8893,9.0,537.0
BL634,IT4772,5.0,753.0
BL380,IT2266,8.0,570.0
BL706,IT7715,5.0,921.0
BL515,IT0317,7.0,714.0
BL765,IT1812,10.0,772.0
BL877,IT7252,10.0,634.0
BL009,IT2233,10.0,529.0
BL930,IT6801,11.0,741.0
BL631,IT3974,9.0,753.0
BL722,IT7633,8.0,774.0
BL532,IT6989,10.0,928.0
BL879,IT0491,6.0,772.0
BL145,IT7039,10.0,506.0
BL170,IT1356,7.0,972.0
BL336,IT8360,9.0,925.0
BL664,IT9748,9.0,875.0
BL837,IT3668,6.0,709.0
BL716,IT7972,10.0,800.0
BL688,IT2251,9.0,905.0
BL914,IT2188,8.0,986.0
BL141,IT3097,6.0,519.0
null,IT5732,6.0,747.0
BL103,IT0580,11.0,695.0
BL611,IT1244,6.0,851.0
BL389,IT3412,5.0,805.0
BL113,IT5570,11.0,602.0
BL610,IT5570,7.0,581.0
BL092,IT3305,7.0,773.0
BL296,IT8442,9.0,670.0
BL226,IT8073,8.0,557.0
BL134,IT0931,5.0,792.0
BL868,IT2103,9.0,538.0
BL542,IT3342,6.0,708.0
BL359,IT6156,6.0,978.0
BL184,IT1662,11.0,926.0
BL338,IT4828,9.0,993.0
BL320,IT7877,10.0,819.0
BL233,IT8051,8.0,505.0
BL941,IT0426,10.0,809.0
BL070,IT6134,8.0,775.0
BL992,IT3069,7.0,733.0
BL772,IT7419,8.0,527.0
BL364,IT9550,9.0,844.0
BL226,IT6280,6.0,788.0
BL134,IT0217,9.0,595.0
BL673,IT7599,6.0,776.0
BL877,IT1114,6.0,799.0
BL553,IT9542,9.0,756.0
BL622,IT4108,6.0,965.0
BL184,IT2064,8.0,976.0
BL092,IT1325,6.0,890.0
BL941,IT7233,10.0,756.0
BL714,IT1909,8.0,780.0
BL184,IT3119,8.0,867.0
BL020,IT8115,7.0,923.0
BL086,IT7441,7.0,510.0
BL491,IT9282,8.0,778.0
BL937,IT6135,11.0,596.0
BL700,IT4325,9.0,533.0
BL173,IT9318,11.0,839.0
BL478,IT0599,5.0,924.0
BL842,IT5440,11.0,948.0
BL142,IT7814,7.0,783.0
BL189,IT9749,10.0,787.0
BL406,IT8977,9.0,596.0
BL914,IT2391,7.0,595.0
BL042,IT1033,6.0,723.0
BL876,IT1346,11.0,854.0
BL481,IT4712,11.0,775.0
BL593,IT0397,8.0,701.0
BL865,IT0006,6.0,818.0
BL732,IT0476,5.0,788.0
BL930,IT8896,9.0,903.0
BL134,IT4552,8.0,824.0
BL877,IT8778,9.0,795.0
BL166,IT6035,6.0,589.0
BL576,IT1156,9.0,958.0
BL827,IT7341,6.0,764.0
BL064,IT4879,6.0,928.0
BL914,IT4607,8.0,772.0
BL534,IT8767,6.0,978.0
BL719,IT4668,8.0,528.0
BL357,IT7436,8.0,519.0
BL218,IT2251,11.0,753.0
BL765,IT9851,8.0,837.0
BL248,IT2674,6.0,772.0
BL909,IT6156,9.0,853.0
BL876,IT5763,7.0,649.0
BL134,IT3371,5.0,970.0
BL538,IT3737,5.0,808.0
BL296,IT7823,10.0,815.0
BL946,IT7307,6.0,660.0
BL660,IT7676,8.0,950.0
BL698,IT7307,8.0,982.0
BL296,IT7076,8.0,978.0
BL142,IT4257,8.0,607.0
BL646,IT8767,10.0,879.0
BL950,IT8585,6.0,660.0
BL328,IT7690,9.0,627.0
BL555,IT5662,7.0,758.0
BL492,IT7630,8.0,632.0
BL899,IT0599,10.0,522.0
BL377,IT6930,5.0,998.0
BL084,IT0594,6.0,913.0
BL928,IT3619,9.0,866.0
BL941,IT1743,10.0,527.0
BL665,IT4230,7.0,600.0
BL545,IT4893,9.0,770.0
BL683,IT0519,11.0,600.0
BL999,IT0828,8.0,820.0
BL014,IT8497,8.0,719.0
BL797,IT3735,6.0,979.0
BL031,IT4273,10.0,522.0
BL538,IT4370,9.0,934.0
BL233,IT2577,7.0,756.0
BL664,IT8976,6.0,597.0
BL076,IT2954,9.0,893.0
BL136,IT5491,9.0,873.0
BL963,IT2391,9.0,960.0
BL380,IT1370,9.0,772.0
BL758,IT0317,11.0,554.0
BL526,IT8944,6.0,995.0
BL576,IT7090,8.0,986.0
BL331,IT9168,10.0,946.0
BL265,IT4496,9.0,639.0
BL127,IT4298,7.0,822.0
BL320,IT1317,6.0,893.0
BL842,IT5664,8.0,808.0
null,IT9852,11.0,828.0
BL919,IT7202,5.0,974.0
BL484,IT8745,9.0,853.0
BL564,IT9240,9.0,919.0
BL000,IT4004,5.0,887.0
BL941,IT0519,7.0,695.0
BL973,IT7893,10.0,967.0
BL946,IT7828,6.0,589.0
BL851,IT0630,7.0,542.0
BL665,IT7003,7.0,912.0
BL032,IT4386,9.0,756.0
BL545,IT5351,8.0,772.0
BL893,IT3007,10.0,988.0
BL462,IT7857,7.0,723.0
BL520,IT8133,9.0,707.0
BL421,IT2064,6.0,779.0
BL436,IT2451,6.0,633.0
BL583,IT6365,5.0,895.0
BL462,IT0599,7.0,764.0
BL026,IT3101,10.0,529.0
BL151,IT8543,6.0,554.0
BL420,IT8051,6.0,839.0
BL113,IT8500,9.0,753.0
BL189,IT8854,9.0,527.0
BL009,IT9171,10.0,667.0
BL140,IT9523,8.0,825.0
BL103,IT4855,10.0,632.0
BL134,IT1335,9.0,846.0
BL713,IT8459,8.0,780.0
BL660,IT6135,7.0,868.0
BL623,IT5958,7.0,591.0
BL555,IT7112,10.0,993.0
BL307,IT2837,6.0,516.0
BL302,IT7911,10.0,597.0
BL125,IT2122,9.0,759.0
BL616,IT3119,10.0,926.0
BL743,IT7893,7.0,796.0
BL504,IT8952,6.0,537.0
BL382,IT1969,8.0,600.0
BL136,IT4551,9.0,619.0
BL559,IT5362,7.0,581.0
BL813,IT2946,9.0,509.0
BL877,IT6001,5.0,893.0
BL000,IT8425,9.0,530.0
BL097,IT2113,5.0,733.0
BL022,IT2226,6.0,870.0
BL950,IT5379,8.0,924.0
BL994,IT1249,5.0,952.0
BL158,IT3428,10.0,951.0
BL062,IT2145,7.0,649.0
BL233,IT4464,6.0,971.0
BL189,IT8051,8.0,773.0
BL736,IT0523,6.0,597.0
BL728,IT1769,7.0,978.0
BL831,IT4153,6.0,738.0
BL850,IT2505,9.0,986.0
BL937,IT5504,10.0,519.0
BL103,IT7436,10.0,895.0
BL064,IT8745,6.0,636.0
BL850,IT1887,10.0,674.0
BL622,IT9485,7.0,812.0
BL538,IT0519,7.0,723.0
BL501,IT9764,11.0,596.0
BL000,IT2505,6.0,913.0
BL087,IT8745,9.0,854.0
BL662,IT0523,8.0,579.0
BL676,IT2317,11.0,932.0
BL512,IT0594,10.0,773.0
BL999,IT5700,7.0,876.0
BL615,IT1898,6.0,811.0
BL022,IT7911,5.0,753.0
BL105,IT0540,8.0,595.0
BL862,IT7003,8.0,925.0
BL994,IT6648,10.0,811.0
BL848,IT4951,8.0,535.0
BL386,IT1978,10.0,823.0
BL084,IT6880,8.0,668.0
BL013,IT6348,9.0,619.0
BL478,IT8233,7.0,904.0
BL842,IT2251,10.0,557.0
BL357,IT0630,6.0,717.0
BL928,IT4517,7.0,855.0
BL937,IT3097,9.0,604.0
BL317,IT9749,5.0,979.0
BL231,IT2778,11.0,660.0
BL194,IT5884,7.0,812.0
BL298,IT4430,5.0,886.0
BL402,IT7307,10.0,875.0
BL772,IT3533,9.0,554.0
BL919,IT6946,6.0,795.0
BL189,IT2969,10.0,979.0
BL004,IT2320,9.0,516.0
BL665,IT6736,7.0,738.0
BL194,IT7177,8.0,825.0
BL937,IT4879,6.0,913.0
BL103,IT7307,10.0,700.0
BL145,IT8360,8.0,561.0
BL515,IT5351,9.0,858.0
BL615,IT3823,10.0,856.0
BL736,IT4772,6.0,703.0
BL265,IT3214,8.0,730.0
BL250,IT0227,7.0,772.0
BL125,IT3101,7.0,970.0
BL141,IT0836,7.0,516.0
BL383,IT3206,6.0,823.0
BL043,IT9028,7.0,788.0
BL407,IT1994,6.0,714.0
BL922,IT4777,11.0,709.0
BL868,IT7823,9.0,669.0
BL382,IT2534,7.0,756.0
BL758,IT5101,8.0,895.0
BL091,IT5561,9.0,735.0
BL248,IT5334,6.0,720.0
BL898,IT9099,10.0,512.0
BL542,IT1042,5.0,998.0
BL719,IT0375,7.0,923.0
BL576,IT4430,9.0,972.0
BL876,IT3164,8.0,700.0
BL337,IT2778,6.0,792.0
BL767,IT4273,9.0,858.0
BL486,IT3947,6.0,789.0
BL675,IT7406,8.0,839.0
BL842,IT2534,11.0,505.0
BL492,IT0768,6.0,762.0
BL280,IT3858,11.0,717.0
BL999,IT2692,10.0,719.0
BL022,IT8182,8.0,953.0
BL656,IT3853,9.0,589.0
BL492,IT9217,7.0,813.0
BL919,IT4517,8.0,976.0
BL999,IT6053,8.0,903.0
BL538,IT4153,10.0,772.0
BL743,IT2760,8.0,600.0
BL331,IT9613,8.0,685.0
BL743,IT7069,11.0,912.0
BL193,IT8244,7.0,570.0
BL919,IT3346,6.0,818.0
BL288,IT8482,8.0,882.0
BL229,IT4855,9.0,828.0
BL426,IT0332,8.0,966.0
BL164,IT0005,6.0,870.0
BL618,IT5664,10.0,513.0
BL745,IT8900,6.0,812.0
BL971,IT1149,9.0,958.0
BL092,IT4951,8.0,753.0
BL981,IT5334,5.0,712.0
BL665,IT0780,7.0,876.0
BL228,IT4742,6.0,597.0
BL298,IT4004,7.0,969.0
BL377,IT9223,10.0,837.0
BL576,IT5801,6.0,609.0
BL851,IT1473,8.0,511.0
BL842,IT4605,6.0,701.0
BL264,IT2311,9.0,978.0
BL328,IT9268,7.0,692.0
BL510,IT0568,8.0,904.0
BL026,IT2451,8.0,965.0
BL484,IT8063,9.0,557.0
BL524,IT8442,6.0,950.0
BL576,IT0543,10.0,527.0
BL108,IT6053,9.0,562.0
BL043,IT5356,8.0,949.0
BL706,IT3838,9.0,550.0
BL588,IT5884,11.0,968.0
